motion,source_dir,path,frames,duration_s,speed_abs_mean,speed_abs_p90,forward_speed_mean,lateral_speed_mean,yaw_rate_abs_mean,body_height_mean,body_height_min,body_height_max,body_bounce_std,roll_abs_mean,roll_std,pitch_abs_mean,pitch_std,joint_limit_violation_count,foot_clearance_mean,foot_clearance_max,contact_duty_factor_mean,step_frequency_hz,foot_slip_speed_mean,style_guess
go2_retarget_canter_2ms,animal_mocap,imitation_data\animal_mocap\go2_retarget_canter_2ms.csv,1001,20.02,2.0236761101919027,2.1745454675390024,2.020101310859141,-0.09592709176416583,0.22151219610242756,0.251288767012987,0.16015552,0.29101753,0.01924728471556597,0.03994515729570078,0.03172470644839394,0.0888900915238221,0.10281222033253337,0,0.162882725125,0.247349455,0.3006993006993007,2.947052947052947,,active
go2_retarget_jump,animal_mocap,imitation_data\animal_mocap\go2_retarget_jump.csv,1001,20.02,1.5122166853522205,1.6523154153214517,1.5102724182017981,-0.0017979663118241754,0.20075943505983018,0.28769336525474526,0.21488523,0.35477984,0.034540420838007374,0.07142872500887981,0.03584394303301271,0.19591013425146925,0.2210733723580594,0,0.281202324075,0.30393621,0.3006993006993007,2.3226773226773227,,active
go2_retarget_pace,animal_mocap,imitation_data\animal_mocap\go2_retarget_pace.csv,1001,20.02,1.033057836431088,1.0759863311180693,1.0188940492407592,-0.05609874989957742,0.09544205796957043,0.31450762688311684,0.26451397,0.32466328,0.006009097541841762,0.0517667924069793,0.023618127889930427,0.07531630447194675,0.01468796534785486,0,0.0419432275,0.06592081,0.3006993006993007,3.021978021978022,,active
go2_retarget_trot,animal_mocap,imitation_data\animal_mocap\go2_retarget_trot.csv,1001,20.02,1.4771845773843757,1.520389531386391,1.4767085654245755,-0.021693351906373625,0.1802957598416883,0.2872435384115884,0.23223735,0.32219267,0.010260478526606028,0.024382966331448333,0.02887255572886822,0.022023972200940923,0.022558615900656623,0,0.17630190974999999,0.23953898599999998,0.3006993006993007,2.4225774225774224,,active
hopturn_go2_STMR_resampled_50Hz,animal_mocap,imitation_data\animal_mocap\hopturn_go2_STMR_resampled_50Hz.csv,181,3.62,0.0397928106430813,0.08854730374212408,-0.011092541436464086,0.002381215469613258,1.4184191348782709,0.2930332044198895,0.18806,0.43019,0.05896274351086776,0.01269698209814475,0.01775985857498633,0.018723304743552344,0.02920840151849522,0,0.1260475,0.13679000000000002,0.30386740331491713,1.3812154696132597,,active
sidesteps_go1_STMR_resampled_50Hz,animal_mocap,imitation_data\animal_mocap\sidesteps_go1_STMR_resampled_50Hz.csv,380,7.6,0.18048995434597492,0.5367206821928363,0.0010421052631578863,-0.0024111842105263197,0.0776397698549225,0.3244780789473684,0.265,0.37439,0.03006495738167923,0.04498426795578856,0.05568253434061141,0.008178329400955668,0.007825634650675872,0,0.15503225,0.16523400000000005,0.3,1.0855263157894737,,active
ai4_dog_canter,kine2go,imitation_data\kine2go\ai4_dog_canter.csv,473,9.46,0.8745719872195239,2.8180228203532582,0.8589273069344608,-0.09221587953488372,0.1878641485200846,0.21355340488372096,0.14520755,0.36827188,0.08844323197914726,0.079610519860934,0.058913513575340554,0.6165608791812871,0.41440145521450916,0,0.1839446005,0.191980196,0.30021141649048627,1.109936575052854,2.1396934853673035,active
ai4_dog_left_turn,kine2go,imitation_data\kine2go\ai4_dog_left_turn.csv,3613,72.26,0.3975991322695123,0.7445914338039757,0.32209465986437863,-0.04595850598948242,0.7310286134680322,0.32070682768059794,0.14744413,0.33961797,0.019170170514918084,0.0425621676343313,0.04620832840237857,0.06444982685345765,0.10108679828907868,0,0.07544612649999996,0.09425541400000001,0.3000276778300581,1.238582895101024,0.10598392361804941,calm
ai4_dog_pace,kine2go,imitation_data\kine2go\ai4_dog_pace.csv,494,9.88,0.7996835136919022,1.007515699507975,0.7919892563562754,-0.07523094748987855,0.3393245983198381,0.30384318568825913,0.14741525,0.33744657,0.05550329737019568,0.03827590504452182,0.043281415543166946,0.1378297598556898,0.26733359302851445,0,0.17918256024999998,0.18084791299999994,0.29959514170040485,1.6194331983805665,0.23881733908335862,active
ai4_dog_right_turn,kine2go,imitation_data\kine2go\ai4_dog_right_turn.csv,3613,72.26,0.3975991322695123,0.7445914338039757,0.32209465986437863,-0.04595850598948242,0.7310286134680322,0.32070682768059794,0.14744413,0.33961797,0.019170170514918084,0.0425621676343313,0.04620832840237857,0.06444982685345765,0.10108679828907868,0,0.07544612649999996,0.09425541400000001,0.3000276778300581,1.238582895101024,0.10598392361804941,calm
ai4_dog_run_00,kine2go,imitation_data\kine2go\ai4_dog_run_00.csv,473,9.46,0.8745719872195239,2.8180228203532582,0.8589273069344608,-0.09221587953488372,0.1878641485200846,0.21355340488372096,0.14520755,0.36827188,0.08844323197914726,0.079610519860934,0.058913513575340554,0.6165608791812871,0.41440145521450916,0,0.1839446005,0.191980196,0.30021141649048627,1.109936575052854,2.1396934853673035,active
ai4_dog_run_02,kine2go,imitation_data\kine2go\ai4_dog_run_02.csv,169,3.38,2.4389243988979334,3.0048714964712104,2.42761865591716,-0.1897064994674556,0.4191518987573964,0.33494865059171597,0.292211,0.36382926,0.015899368783096134,0.04049246296218613,0.04697532107886459,0.10657416919142082,0.11983909943622613,0,0.16233806149999996,0.19651388800000003,0.30177514792899407,2.1449704142011834,0.862690404372171,active
ai4_dog_run_04,kine2go,imitation_data\kine2go\ai4_dog_run_04.csv,1053,21.06,0.33671616606341653,1.6591991614227877,0.3018024507597341,-0.028949628100664766,0.1424387788983856,0.18874781263057933,0.14590303,0.33903719,0.06907858774758038,0.06351117555059974,0.04664764574714684,0.7053406962275064,0.3482839346196991,0,0.167022235,0.172241674,0.30009496676163344,0.9971509971509973,1.0721208322216884,active
ai4_dog_synth_circle_walk,kine2go,imitation_data\kine2go\ai4_dog_synth_circle_walk.csv,673,13.46,0.9153503956101152,1.1494855065961596,0.8591795484101041,-0.3074494883358098,0.4478934460475483,0.31901969499257055,0.30021927,0.3347348,0.005854520734685551,0.032026695065802684,0.03637086691019982,0.025404222147751638,0.029272936824295576,0,0.06373209049999998,0.075608328,0.300148588410104,1.6344725111441307,0.3088494956370849,active
ai4_dog_synth_eight_walk,kine2go,imitation_data\kine2go\ai4_dog_synth_eight_walk.csv,980,19.6,0.5523072179535043,0.7038360285324504,0.4914441083265306,0.06249624195918369,1.9136562146836735,0.32191348359183675,0.31231461,0.33975989,0.004141524083780393,0.03142160575137113,0.03488299908935396,0.025569288006704004,0.020150510574888727,0,0.0540663785,0.06229870499999998,0.3,1.5561224489795917,0.3123148089307947,calm
ai4_dog_synth_ellipse_walk,kine2go,imitation_data\kine2go\ai4_dog_synth_ellipse_walk.csv,983,19.66,0.8829507700044253,1.0176719914172552,0.8721441321057986,0.04586162702950153,0.5536598312919634,0.3239584819023398,0.31094262,0.33108831,0.0039489127238108756,0.029717173315715134,0.032349417409420794,0.022564022352593586,0.021442782809303725,0,0.052588306249999994,0.06090431499999999,0.30010172939979657,1.6531027466937944,0.2941013813895717,active
