vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03801649,0.18852921,-1.65126729,-0.06983846,0.81906819,-1.56410468,-0.11916973,0.77335835,-1.69533634,-0.08369704,1.00926089,-1.67537391,0.32209466,-0.04595851,-0.04546844,0.32071063,0.19346738,0.11794707,-0.30209857,0.37362224,-0.13519684,-0.22086158,-0.23127096,0.11561816,-0.29764244,-0.16255463,-0.17711956,-0.27237654,0.00000000,0.00000000,-0.00137734,-0.01888883,0.16338720,0.98638022,0.14507501,0.17405282,0.01861206,0.39726113,-0.00744037,0.09984905,-0.25620437,0.03483016,0.02306819,-0.09672622,-0.22008950,0.04833409,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.66719655,-0.14261277,0.10703315,0.52182403,-0.26034184,0.08662836,0.02048567,0.18577156,-1.57266355,-0.06745525,0.84669144,-1.52921898,-0.13213807,0.66542094,-1.62782643,-0.08139434,1.05136068,-1.65519946,0.32209466,-0.04595851,-0.04546844,0.32342900,0.18201899,0.12090181,-0.30429366,0.37429933,-0.13708342,-0.23349405,-0.24417606,0.11861499,-0.29920420,-0.13755276,-0.17944115,-0.28033103,0.01328990,0.00154715,0.00332867,-0.02223330,0.16403860,0.98619772,0.14636789,0.17486308,0.01913534,0.41181103,-0.00698313,0.08993495,-0.25613632,0.03472809,0.02422480,-0.05876552,-0.21276082,0.04309797,-0.86459076,-0.12046033,3.89892049,0.12050503,1.39335382,1.77009187,-0.64102769,-5.43221188,3.40987711,0.12626891,2.12712321,1.02116053
0.84620730,-0.14197679,0.11552854,0.60402203,-0.46743888,0.46356604,0.01779379,0.18927938,-1.51728168,-0.06453297,0.87873054,-1.47934678,-0.13710782,0.54846846,-1.54585707,-0.07292042,1.10393760,-1.62863281,0.32209466,-0.04595851,-0.04546844,0.32668940,0.16768181,0.12415024,-0.30697508,0.37460416,-0.13526987,-0.24193271,-0.26002966,0.12352584,-0.30086622,-0.10893518,-0.17945173,-0.28941839,0.03011759,0.00435840,0.00868836,-0.02773635,0.16827053,0.98531225,0.14713160,0.17709576,0.01971431,0.42838241,0.00098885,0.08475669,-0.25616291,0.03464918,0.02582318,-0.01313340,-0.20106591,0.03727101,-0.04595585,0.15093486,2.69320807,0.14478259,1.58515537,2.51443839,-0.20544844,-5.76106567,4.07115402,0.42973724,2.62294698,1.33006513
0.79671618,-0.10474705,0.11118599,0.53301566,-0.52708815,0.75560171,0.01861364,0.19277070,-1.45243573,-0.06330398,0.90481083,-1.42345297,-0.12967422,0.46280360,-1.47673411,-0.06145193,1.15123181,-1.60148427,0.32209466,-0.04595851,-0.04546844,0.32999848,0.15389492,0.12635851,-0.30997711,0.37410913,-0.13293734,-0.25190789,-0.27443799,0.12873328,-0.30228472,-0.08667239,-0.17616382,-0.29763016,0.04573507,0.00777960,0.01330754,-0.03378326,0.17545322,0.98381796,0.14655031,0.17949566,0.02002136,0.44273734,0.01215803,0.07809059,-0.25627182,0.03386238,0.02771376,0.02520300,-0.18747466,0.03236831,-0.10116637,0.22331319,3.48870850,0.04717970,1.27802527,2.81324935,0.40963572,-4.14348235,3.38231111,0.59128789,2.32368126,1.35977972
0.72582186,-0.10726895,0.10769341,0.42768512,-0.41728546,0.88318223,-0.01448394,0.21682730,-1.34765964,-0.06313711,0.92264466,-1.36648943,-0.11688274,0.41516069,-1.42104893,-0.04695150,1.18486519,-1.56958945,0.32209466,-0.04595851,-0.04546844,0.33331003,0.14131574,0.12790949,-0.31327932,0.36366111,-0.14059494,-0.27098412,-0.28676273,0.13433622,-0.30381493,-0.07442888,-0.17150991,-0.30624953,0.06000932,0.01096481,0.01719853,-0.03870813,0.18393132,0.98202605,0.14559357,0.18127720,0.02003070,0.44990198,0.01119345,0.06232590,-0.25591457,0.03267140,0.02949510,0.05254380,-0.17584946,0.02706049,-1.85189447,1.35973539,5.39169464,0.01199234,0.83521621,2.84031463,0.65519656,-2.14168620,2.72371793,0.73747747,1.58608952,1.63985097
0.67893911,-0.12425886,0.07580865,0.31958733,-0.34720712,1.05307927,-0.03745130,0.25446028,-1.24926496,-0.06114115,0.93186963,-1.31299150,-0.10333271,0.40982544,-1.37818146,-0.03140721,1.21308422,-1.53471661,0.32209466,-0.04595851,-0.04546844,0.33610100,0.13110439,0.12960149,-0.31638952,0.34649275,-0.14656812,-0.29139813,-0.29897022,0.13971428,-0.30494601,-0.07414932,-0.16697998,-0.31657942,0.07344183,0.01376636,0.02022494,-0.04262381,0.19394167,0.97987795,0.14547338,0.18346127,0.01971148,0.44963859,0.00983720,0.04470287,-0.25619205,0.02941154,0.03115499,0.06829600,-0.16886430,0.01952157,-0.94855767,1.93895984,4.77947426,0.11626414,0.40339705,2.64417148,0.67727607,0.03608465,2.04546690,0.78142470,1.40459764,1.75086725
0.65574260,-0.14469168,-0.03037462,0.41180718,-0.34808188,1.07138507,-0.05580568,0.29326109,-1.16562810,-0.05769426,0.94058443,-1.27724307,-0.08877397,0.46353114,-1.40056722,-0.02323441,1.25730231,-1.52706432,0.32209466,-0.04595851,-0.04546844,0.33681133,0.12431521,0.13222485,-0.31701669,0.32768015,-0.15146685,-0.30779378,-0.31031511,0.14323658,-0.30208286,-0.08492413,-0.16107050,-0.32173792,0.08658496,0.01637318,0.02399497,-0.04663357,0.20437735,0.97748629,0.14775198,0.18724236,0.01979464,0.44748999,0.00836975,0.02901755,-0.25511305,0.02376595,0.03472847,0.07305120,-0.16521056,0.01507342,-0.90622252,1.99594140,4.03137264,0.16824003,0.44715782,1.75549783,0.72009281,2.73232675,-1.19718351,0.39481668,2.23055501,0.34941531
0.69154816,-0.18831594,-0.14547982,0.51046744,-0.21996478,0.83818097,-0.06449884,0.36182308,-1.17930965,-0.05722624,0.95851210,-1.26669476,-0.08150376,0.53711090,-1.45889652,-0.02215990,1.30946076,-1.53798389,0.32209466,-0.04595851,-0.04546844,0.33537583,0.11881815,0.13485375,-0.31462056,0.30931952,-0.15197151,-0.31161218,-0.32040192,0.14542326,-0.29634444,-0.09811632,-0.15624096,-0.32126729,0.10084898,0.01887155,0.02891302,-0.04975036,0.21252170,0.97546064,0.15313536,0.19082916,0.02075527,0.44533406,0.00867698,0.02376365,-0.25101064,0.01851550,0.03903138,0.07626393,-0.16397710,0.01410853,-0.39552816,3.44620748,-0.90491287,0.01413462,0.93142453,0.43503282,0.32984501,3.64251685,-2.88642287,0.05186078,2.58907247,-0.56570287
0.69306554,-0.20313317,-0.18056975,0.32267910,0.11423320,0.49852870,-0.06146460,0.42132654,-1.22751946,-0.05657523,0.97920309,-1.29241071,-0.08255747,0.59796218,-1.50460966,-0.02248578,1.35274704,-1.55681329,0.32209466,-0.04595851,-0.04546844,0.33316070,0.11728979,0.13745543,-0.30963129,0.29632639,-0.14839963,-0.31094799,-0.32814958,0.14704926,-0.28886687,-0.11081034,-0.15416861,-0.31946000,0.11543501,0.02134860,0.03279956,-0.04959568,0.21749898,0.97424774,0.16354176,0.19552275,0.02352940,0.44671973,0.01228121,0.02221271,-0.24411196,0.01572641,0.04429383,0.08027124,-0.16522686,0.01370070,0.19072611,2.84837098,-2.31410248,0.05291332,0.99210039,-1.46367501,-0.06859419,2.98822093,-2.21957858,-0.02656889,2.11329157,-0.98111913
0.67746307,-0.17661895,-0.17702392,-0.14341403,0.50795829,0.05459141,-0.04060827,0.47090446,-1.28588362,-0.04695217,0.98459996,-1.35527649,-0.08049701,0.64725441,-1.53883274,-0.02141500,1.38072670,-1.58897576,0.32209466,-0.04595851,-0.04546844,0.33087214,0.12462033,0.14133965,-0.30329908,0.28491175,-0.14048033,-0.31098448,-0.33179404,0.14779895,-0.27943598,-0.12452555,-0.15265848,-0.31651930,0.12945112,0.02411736,0.03303833,-0.04482481,0.21840885,0.97426730,0.18222300,0.20501029,0.02757307,0.44705428,0.01798026,0.01988766,-0.23370261,0.01696324,0.05143616,0.08157354,-0.16698199,0.01435284,1.18202303,2.50644221,-3.11613872,0.55051055,0.15935110,-3.33690958,0.15007361,2.40336347,-1.66233146,0.07778057,1.29693878,-1.70180502
