vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.11945891,1.22726369,-1.49289131,-0.11671899,0.25577843,-1.72185516,0.13497016,0.72384292,-1.81262743,-0.02925879,0.58943224,-1.52803373,2.42761866,-0.18970650,-0.02890252,0.32876262,0.35022816,0.10603193,-0.24353204,0.04746118,-0.11862955,-0.28277047,-0.14139558,0.12189586,-0.30957828,-0.14694781,-0.11607639,-0.26411448,0.00000000,0.00000000,-0.01813278,0.00269015,-0.02148807,0.99960103,0.35446878,0.09085382,0.08523058,0.04230933,-0.12056308,0.04599215,-0.13601598,0.12787089,0.01918434,-0.15180944,-0.10964160,0.06464814,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.24435585,0.06888389,-0.34660036,-1.20748777,-2.18868367,-0.91304759,0.14670389,1.26670487,-1.64968007,-0.07044940,0.26365317,-1.60736606,0.14444752,0.60840125,-1.75245221,-0.00535061,0.78959954,-1.65215578,2.42761866,-0.18970650,-0.02890252,0.32282923,0.35584214,0.10865661,-0.25221203,0.08023353,-0.11856909,-0.26249565,-0.17059157,0.12341957,-0.30381267,-0.11021421,-0.11902159,-0.27188706,0.02511413,-0.00052355,-0.02975845,-0.01937268,-0.03108679,0.99888575,0.38692179,0.08622381,0.07061720,0.09796535,-0.12376618,0.06033358,-0.13763097,0.13307252,0.01901655,-0.09215531,-0.11260025,0.05094217,1.34586943,1.94717929,-7.93572903,2.30896659,0.42509433,5.69753361,0.47146150,-5.77563314,3.02805495,1.17045090,9.88961277,-6.08816628
1.28594915,0.05660533,-0.43856299,-0.98526282,-1.66705185,-0.71317049,0.16700800,1.24998786,-1.82944129,-0.03559095,0.28919613,-1.51942036,0.15493266,0.48979905,-1.67466772,0.00571772,0.94079249,-1.72598529,2.42761866,-0.18970650,-0.02890252,0.31591573,0.35426761,0.11066001,-0.26151256,0.12610955,-0.11932425,-0.23955232,-0.19229312,0.12233830,-0.30093224,-0.07522449,-0.12048372,-0.27748054,0.05140152,-0.00203060,-0.03933143,-0.03661464,-0.03864695,0.99780701,0.41292544,0.08194340,0.05440317,0.16827609,-0.13041374,0.07636342,-0.13124847,0.13428626,0.01498349,-0.03258538,-0.11657862,0.03843519,1.02769371,-1.27303350,-8.73632622,1.65137491,1.29704320,4.26645575,0.54636808,-5.94396448,3.96884789,0.54980831,7.66366024,-3.77822814
1.30420748,0.07159936,-0.41878558,-0.54828494,-0.74674731,-0.21985767,0.19274669,1.09195826,-1.94232645,-0.03413025,0.32888233,-1.48063483,0.16456163,0.39158213,-1.58301642,0.01241754,1.09155016,-1.79182465,2.42761866,-0.18970650,-0.02890252,0.30987672,0.34592586,0.10635584,-0.27048019,0.18576511,-0.11620445,-0.22543167,-0.21856025,0.12220025,-0.29298850,-0.05045034,-0.12009817,-0.28416437,0.07804463,-0.00344780,-0.04511226,-0.04498487,-0.04153477,0.99710386,0.43130064,0.07520622,0.03939653,0.25403375,-0.13398508,0.08444505,-0.13016246,0.13566112,0.01688823,0.01825068,-0.11917805,0.02571235,1.31630366,-8.44023895,-5.47896576,-0.07784735,2.08595161,1.70933233,0.42866417,-4.67928362,4.56198530,0.29852186,7.32550449,-3.03856087
1.33694200,0.04074309,-0.43621961,-0.09549068,-0.28670642,0.21334648,0.20752746,0.82884157,-1.99092784,-0.05026864,0.40184531,-1.48299699,0.16920744,0.36958253,-1.52987421,0.01147359,1.21520028,-1.82666972,2.42761866,-0.18970650,-0.02890252,0.30386743,0.32757093,0.09978665,-0.27931324,0.25365733,-0.11419889,-0.20868885,-0.24346592,0.12230196,-0.28494017,-0.04609846,-0.11875736,-0.29229420,0.10539741,-0.00537874,-0.04623483,-0.04822511,-0.03981719,0.99697105,0.43955303,0.06945513,0.02455419,0.34973406,-0.13835628,0.09517858,-0.12816654,0.13491134,0.01892726,0.05048623,-0.12032718,0.01157323,0.60009022,-13.66794586,-1.95252352,-0.83202800,3.87927437,-0.29964062,0.23524331,-0.56936857,2.29259911,-0.08716577,6.12380886,-1.68571749
1.29297736,0.01057312,-0.45185663,0.34663280,-0.11109304,0.38774571,0.17956138,0.52242130,-1.94294488,-0.07355301,0.52134186,-1.57227981,0.18339297,0.46950865,-1.60947168,0.00799019,1.32686353,-1.84695077,2.42761866,-0.18970650,-0.02890252,0.29756936,0.30196875,0.09536302,-0.27632085,0.31870698,-0.12053430,-0.18926250,-0.26752255,0.12385343,-0.27538764,-0.06681559,-0.11341874,-0.29155902,0.13209955,-0.00771390,-0.04318468,-0.04962231,-0.03635947,0.99717135,0.43989779,0.06671378,0.02124851,0.44178911,-0.14982316,0.10830686,-0.12629845,0.13419615,0.02218172,0.05766238,-0.11628296,0.00601035,-1.75629878,-15.49799252,3.12621808,-1.22312415,6.32460022,-5.24258089,0.80319726,5.95025682,-5.12501431,-0.17958042,5.49264145,-0.89668030
1.45296851,-0.07381757,-0.35520801,0.88738558,0.26650986,0.38410091,0.11252269,0.28323036,-1.84303524,-0.07919230,0.64622151,-1.66444247,0.17630711,0.61834008,-1.72251480,0.00070739,1.41277564,-1.82662773,2.42761866,-0.18970650,-0.02890252,0.29332971,0.27365654,0.10011409,-0.27064775,0.36521728,-0.13211954,-0.17353833,-0.29391781,0.12675901,-0.26653144,-0.09971411,-0.11168557,-0.28597139,0.16138038,-0.01149771,-0.03444116,-0.04682920,-0.03289918,0.99776674,0.44077676,0.07125731,0.02268196,0.51759305,-0.16626129,0.11979138,-0.12400935,0.13344444,0.02679827,0.05485834,-0.11671000,0.00735832,-3.40197306,-11.79550676,5.01662159,-0.33307805,6.22076464,-4.52194362,-0.37573830,7.29088955,-5.47748811,-0.38753664,4.26926847,1.05880876
1.63310280,-0.13202856,-0.18969837,1.40466294,0.31016750,0.52319982,0.02762516,0.14564958,-1.72020009,-0.11121328,0.75848273,-1.70251462,0.15646745,0.70816201,-1.75518000,-0.01790001,1.47145712,-1.77578917,2.42761866,-0.18970650,-0.02890252,0.29221100,0.24427281,0.09924755,-0.27171919,0.39220763,-0.14424852,-0.17313240,-0.31992572,0.12917377,-0.26007345,-0.12259776,-0.10974716,-0.28752921,0.19403521,-0.01598663,-0.02034938,-0.04345550,-0.02820842,0.99844970,0.44337740,0.06973240,0.02049181,0.57775317,-0.18150096,0.11907860,-0.11833503,0.13051650,0.03213755,0.06561032,-0.11885400,0.00468179,-4.17327061,-6.68313417,6.26531219,-1.60929775,5.60296259,-1.79364665,-1.01229475,4.65440845,-1.70281775,-0.92663163,2.79345255,2.63379898
1.70628236,-0.18900243,0.07614753,1.47361626,0.31283316,0.52494678,-0.03850113,0.06566376,-1.56058476,-0.13848003,0.86112021,-1.69488099,0.12826297,0.82189200,-1.77983837,-0.03409103,1.49233801,-1.69811125,2.42761866,-0.18970650,-0.02890252,0.29612397,0.21234068,0.09949550,-0.27687193,0.40824066,-0.15286911,-0.19122522,-0.34269074,0.13214665,-0.25767102,-0.15244913,-0.10959451,-0.28945460,0.22754784,-0.02134221,-0.00550321,-0.04001973,-0.02356127,0.99890590,0.44431056,0.06811080,0.01925204,0.62819014,-0.19314196,0.10489874,-0.10858572,0.12669125,0.03845295,0.07013865,-0.12368497,0.00666937,-3.26181264,-3.81514993,8.10145836,-1.29929740,5.05583286,0.61881776,-1.45324855,5.59895573,-1.01373472,-0.79286386,0.94728179,3.96854773
1.79998401,-0.17915512,0.19428859,1.27660034,0.45844752,0.25905978,-0.06994861,0.02504379,-1.43058503,-0.15276804,0.94488565,-1.65035808,0.09927576,0.92349966,-1.77120218,-0.04724773,1.49959471,-1.61856365,2.42761866,-0.18970650,-0.02890252,0.30238242,0.17927269,0.10222587,-0.28431408,0.41421392,-0.15502209,-0.21466524,-0.36354698,0.13502749,-0.25480916,-0.18347180,-0.11019726,-0.29285089,0.26281469,-0.02653215,0.00761057,-0.03540106,-0.02103065,0.99912289,0.44628600,0.06795120,0.01806834,0.67003670,-0.19908723,0.08771718,-0.09463967,0.12388462,0.04757326,0.07480796,-0.12880045,0.00953153,-1.27008743,-1.82148070,6.08313808,-0.64865344,4.07559204,2.35790184,-1.41416292,5.04670238,0.54557128,-0.64417926,0.32335567,3.91142445
