vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01425952,0.45155990,-1.31492150,-0.00525980,0.89123613,-1.33878613,0.01385804,0.76001340,-1.60376871,-0.09417991,1.26154876,-1.51242077,0.85917955,-0.30744949,-0.44636487,0.33438087,0.13966773,0.15468402,-0.31167968,0.28277646,-0.13191004,-0.31782168,-0.32563720,0.12838668,-0.29443701,-0.16168440,-0.12451150,-0.31383269,0.00000000,0.00000000,0.01799784,-0.03392292,-0.12958894,0.99082391,0.17490959,0.11331749,0.02270119,0.23906088,-0.20053101,0.01655918,-0.28137541,0.20820808,0.03994386,-0.18837738,-0.07847881,0.02054818,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00249644,-0.00105497,-0.00204590,0.00070793,-0.00231349,-0.00269264,-0.01441512,0.45037496,-1.31298232,-0.00491838,0.89127845,-1.33765829,0.01339330,0.76021117,-1.60135365,-0.09358457,1.26040876,-1.51027393,0.85917955,-0.30744949,-0.44636487,0.33434210,0.13945499,0.15480534,-0.31174807,0.28292666,-0.13194793,-0.31802276,-0.32574341,0.12854370,-0.29469159,-0.16204877,-0.12462202,-0.31421630,0.00004578,-0.00003262,0.01800508,-0.03394660,-0.12961545,0.99081950,0.17478752,0.11344738,0.02259403,0.23923082,-0.20065231,0.01631933,-0.28138008,0.20837021,0.03965051,-0.18871651,-0.07851353,0.02012579,-0.00746852,-0.05687714,0.09308051,0.01638832,0.00203133,0.05413628,-0.02230753,0.00949287,0.11592292,0.02857589,-0.05471992,0.10304832
0.00219617,-0.00089087,-0.00163699,0.00630050,0.00097218,-0.00242785,-0.01441512,0.45037496,-1.31298232,-0.00491838,0.89127845,-1.33765829,0.01339330,0.76021117,-1.60135365,-0.09358457,1.26040876,-1.51027393,0.85917955,-0.30744949,-0.44636487,0.33431075,0.13943880,0.15484195,-0.31173688,0.28291230,-0.13190907,-0.31805131,-0.32575764,0.12857529,-0.29466141,-0.16206288,-0.12458700,-0.31422300,0.00008659,-0.00005970,0.01806434,-0.03393112,-0.12964189,0.99081549,0.17482853,0.11345005,0.02257386,0.23925657,-0.20065155,0.01625943,-0.28133316,0.20839310,0.03964934,-0.18868465,-0.07849255,0.02008774,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00179506,-0.00093726,-0.00101375,0.00457854,0.00333162,-0.00264544,-0.01441512,0.45037496,-1.31298232,-0.00491838,0.89127845,-1.33765829,0.01339330,0.76021117,-1.60135365,-0.09358457,1.26040876,-1.51027393,0.85917955,-0.30744949,-0.44636487,0.33429095,0.13941084,0.15486724,-0.31173655,0.28288516,-0.13188095,-0.31808696,-0.32578463,0.12859712,-0.29462227,-0.16209010,-0.12456214,-0.31421886,0.00011864,-0.00008774,0.01810948,-0.03389334,-0.12966980,0.99081231,0.17484655,0.11344376,0.02255440,0.23925829,-0.20065899,0.01620399,-0.28130970,0.20840912,0.03966868,-0.18867693,-0.07847881,0.02007209,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00159213,-0.00075678,-0.00061174,0.00409177,0.00468387,-0.00280178,-0.01441512,0.45037496,-1.31298232,-0.00491838,0.89127845,-1.33765829,0.01339330,0.76021117,-1.60135365,-0.09358457,1.26040876,-1.51027393,0.85917955,-0.30744949,-0.44636487,0.33427940,0.13937703,0.15488476,-0.31174368,0.28285148,-0.13186456,-0.31812412,-0.32581710,0.12861135,-0.29458061,-0.16212352,-0.12454759,-0.31420770,0.00014648,-0.00010986,0.01814077,-0.03384380,-0.12969987,0.99080949,0.17485304,0.11343689,0.02253572,0.23924589,-0.20067081,0.01615528,-0.28129711,0.20842590,0.03969879,-0.18868227,-0.07846699,0.02007170,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00132596,-0.00054006,-0.00030681,0.00096008,0.00422381,-0.00191013,-0.01441512,0.45037496,-1.31298232,-0.00491838,0.89127845,-1.33765829,0.01339330,0.76021117,-1.60135365,-0.09358457,1.26040876,-1.51027393,0.85917955,-0.30744949,-0.44636487,0.33427364,0.13934776,0.15488699,-0.31175534,0.28282194,-0.13186181,-0.31815101,-0.32584359,0.12861231,-0.29454976,-0.16215209,-0.12454519,-0.31419376,0.00017023,-0.00012779,0.01814974,-0.03379922,-0.12972149,0.99080802,0.17485380,0.11342144,0.02251829,0.23923349,-0.20068836,0.01612262,-0.28129005,0.20842743,0.03972387,-0.18868876,-0.07846737,0.02007988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.00021119,-0.00009980,0.00106019,-0.00298632,0.00750178,0.00121061,-0.01430632,0.45034539,-1.31341541,-0.00482432,0.89111862,-1.33784671,0.01400558,0.76012024,-1.60167787,-0.09353242,1.26047380,-1.51011593,0.85917955,-0.30744949,-0.44636487,0.33429012,0.13940051,0.15488805,-0.31176340,0.28285144,-0.13185701,-0.31810446,-0.32592693,0.12860289,-0.29452153,-0.16211539,-0.12439061,-0.31415507,0.00016937,-0.00013142,0.01811420,-0.03373728,-0.12971192,0.99081204,0.17490129,0.11340961,0.02252672,0.23926744,-0.20068893,0.01618566,-0.28137913,0.20842915,0.03976860,-0.18861217,-0.07833595,0.02013505,0.00652764,-0.00177455,-0.02598524,0.00564381,-0.00958943,-0.01130533,0.03673706,-0.00545597,-0.01945352,0.00312942,0.00390243,0.00948000
-0.00736128,0.00092347,0.01059594,-0.03120064,-0.00335873,0.00480852,-0.01352087,0.45026129,-1.31514556,-0.00439362,0.89017410,-1.33932719,0.01949165,0.76116487,-1.60604432,-0.09277921,1.26179011,-1.50896060,0.85917955,-0.30744949,-0.44636487,0.33447988,0.14002161,0.15485104,-0.31168200,0.28313219,-0.13178682,-0.31776940,-0.32649985,0.12867010,-0.29446209,-0.16179534,-0.12294534,-0.31382717,0.00002136,-0.00008297,0.01784156,-0.03375131,-0.12965286,0.99082423,0.17532835,0.11328526,0.02279788,0.23943586,-0.20061302,0.01671048,-0.28209133,0.20865269,0.04001779,-0.18806667,-0.07699966,0.02065271,0.04059980,-0.00327086,-0.07782412,0.02019780,-0.04708171,-0.07752370,0.29242718,0.06813383,-0.24253319,0.04206294,0.07507610,0.05983972
-0.00903821,0.00023831,0.01268897,-0.09713525,-0.10047616,-0.00333218,-0.01202067,0.45225602,-1.31641443,-0.00386882,0.89027882,-1.34178953,0.02947086,0.76653039,-1.61691771,-0.09094275,1.26673367,-1.50785768,0.85917955,-0.30744949,-0.44636487,0.33473480,0.14115656,0.15459527,-0.31124495,0.28336137,-0.13172406,-0.31704903,-0.32744066,0.12885375,-0.29462621,-0.16120353,-0.12045334,-0.31312318,-0.00017061,-0.00003490,0.01705064,-0.03478666,-0.12962873,0.99080551,0.17616262,0.11279888,0.02348985,0.23948851,-0.20055523,0.01768577,-0.28315191,0.20911160,0.04010859,-0.18703985,-0.07470398,0.02161162,0.07950343,0.11865698,-0.07619762,0.02985515,0.01543951,-0.12593651,0.50764437,0.27968071,-0.56031699,0.09385022,0.26492927,0.05047559
-0.01082010,-0.00243722,-0.00541726,-0.15052083,-0.15376458,-0.01869248,-0.00954382,0.45747229,-1.32002056,-0.00223835,0.89264684,-1.34541779,0.04000200,0.77419059,-1.63230305,-0.08884645,1.27535131,-1.50871918,0.85917955,-0.30744949,-0.44636487,0.33466220,0.14219254,0.15445011,-0.31036175,0.28327991,-0.13158758,-0.31581166,-0.32859173,0.12894044,-0.29469519,-0.16027497,-0.11809493,-0.31187570,-0.00037947,-0.00002003,0.01580114,-0.03646613,-0.12971835,0.99075410,0.17693949,0.11237011,0.02430045,0.23919611,-0.20043545,0.01885054,-0.28440828,0.20956478,0.03996701,-0.18575640,-0.07261391,0.02278650,0.12911515,0.27410850,-0.19092463,0.08896516,0.13083028,-0.19025229,0.52339202,0.39455220,-0.79773897,0.10538604,0.44987151,-0.05804872
