vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33855125,0.23963445,0.17306799,-0.31880067,0.14874035,-0.14781132,-0.31866863,-0.19499179,0.13250085,-0.31062034,-0.29904469,-0.13922623,-0.30306797,0.00000000,0.00000000,0.01206610,-0.02870218,-0.09408104,0.99507756,0.26792526,0.12487295,0.01975058,0.11826229,-0.17316440,0.01988262,-0.16656876,0.16683263,0.02793092,-0.31990433,-0.08045429,0.03548329,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00261515,0.00057578,-0.00293788,0.00094007,0.00363539,0.00039273,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33849515,0.23961000,0.17306905,-0.31881758,0.14871718,-0.14781010,-0.31868010,-0.19501401,0.13250211,-0.31060555,-0.29906745,-0.13922533,-0.30304661,0.00005703,0.00000285,0.01207154,-0.02866591,-0.09407772,0.99507885,0.26795750,0.12488354,0.01967758,0.11829815,-0.17315507,0.01981505,-0.16653461,0.16683958,0.02788960,-0.31986885,-0.08044877,0.03544855,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00201972,0.00025044,-0.00170511,0.00232201,0.00431653,0.00068548,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33846216,0.23957912,0.17307890,-0.31883582,0.14868635,-0.14780050,-0.31869893,-0.19504464,0.13251092,-0.31058265,-0.29909597,-0.13921671,-0.30302153,0.00010014,0.00000045,0.01209099,-0.02861872,-0.09407304,0.99508042,0.26797085,0.12489938,0.01962633,0.11831455,-0.17314101,0.01976323,-0.16652164,0.16684990,0.02787950,-0.31985130,-0.08044062,0.03544062,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00177327,0.00024893,-0.00079873,0.00113671,0.00277652,0.00064067,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33844730,0.23956084,0.17308389,-0.31884733,0.14866765,-0.14779573,-0.31870981,-0.19506332,0.13251524,-0.31056929,-0.29911372,-0.13921253,-0.30300604,0.00013733,-0.00000058,0.01210129,-0.02859015,-0.09406590,0.99508179,0.26798916,0.12491068,0.01959997,0.11833687,-0.17313209,0.01973749,-0.16650448,0.16685413,0.02787801,-0.31982956,-0.08043899,0.03544126,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00170590,0.00015282,-0.00039538,0.00289302,0.00128441,0.00037092,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33844070,0.23954733,0.17309825,-0.31884938,0.14865566,-0.14778144,-0.31872219,-0.19507601,0.13252827,-0.31055571,-0.29912575,-0.13920012,-0.30300010,0.00017166,-0.00000384,0.01212490,-0.02857226,-0.09406362,0.99508223,0.26801243,0.12492515,0.01959133,0.11836281,-0.17311857,0.01971851,-0.16648083,0.16686539,0.02788499,-0.31980438,-0.08042908,0.03544060,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00141568,0.00062381,-0.00034382,0.00193728,0.00109651,0.00014269,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33843574,0.23953788,0.17311123,-0.31884961,0.14864575,-0.14776884,-0.31873231,-0.19508496,0.13254004,-0.31054483,-0.29913463,-0.13918899,-0.30299689,0.00020313,0.00000149,0.01214577,-0.02855963,-0.09406245,0.99508245,0.26803684,0.12494548,0.01958613,0.11838722,-0.17309880,0.01970343,-0.16645622,0.16688368,0.02789091,-0.31977940,-0.08041170,0.03543885,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00038014,0.00040637,0.00294291,-0.00161900,-0.00402116,-0.00148641,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33849598,0.23956544,0.17310680,-0.31883129,0.14867395,-0.14777305,-0.31871752,-0.19505873,0.13253590,-0.31056345,-0.29910817,-0.13919275,-0.30302078,0.00020885,0.00000678,0.01213459,-0.02860205,-0.09407670,0.99508002,0.26807251,0.12493326,0.01966470,0.11841469,-0.17310647,0.01977847,-0.16642056,0.16688493,0.02793253,-0.31975079,-0.08040556,0.03547521,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00059576,0.00049448,0.00163901,-0.00399157,-0.00280625,-0.00092997,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33853062,0.23958776,0.17308270,-0.31882745,0.14869485,-0.14779679,-0.31869664,-0.19503705,0.13251418,-0.31058636,-0.29908794,-0.13921351,-0.30303112,0.00021915,0.00001407,0.01209505,-0.02863270,-0.09408384,0.99507895,0.26810188,0.12490907,0.01970318,0.11843872,-0.17312802,0.01983398,-0.16639080,0.16686903,0.02794426,-0.31972561,-0.08041818,0.03549950,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00099800,0.00051415,0.00087241,-0.00287056,-0.00209186,-0.00076764,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33855042,0.23960617,0.17306775,-0.31882139,0.14871314,-0.14781139,-0.31868145,-0.19501786,0.13250093,-0.31060355,-0.29907027,-0.13922622,-0.30304213,0.00023918,0.00001959,0.01206978,-0.02865938,-0.09409155,0.99507776,0.26813908,0.12489238,0.01972903,0.11847134,-0.17314208,0.01986897,-0.16635189,0.16686047,0.02794687,-0.31969185,-0.08042359,0.03550829,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00115290,0.00061367,0.00026584,-0.00475614,-0.00060657,-0.00056806,-0.04735790,0.86338538,-1.34957981,0.06246484,0.54742938,-1.25997818,-0.01978022,1.16469014,-1.51879346,-0.06112078,0.85581839,-1.58871210,0.49144411,0.06249624,0.00700203,0.33855868,0.23961639,0.17303903,-0.31882925,0.14872189,-0.14783964,-0.31866423,-0.19500841,0.13247490,-0.31062080,-0.29906157,-0.13925095,-0.30303893,0.00026360,0.00002727,0.01202518,-0.02867008,-0.09409538,0.99507763,0.26816883,0.12486839,0.01972943,0.11849804,-0.17316446,0.01989445,-0.16632214,0.16684176,0.02793788,-0.31966400,-0.08044001,0.03551975,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
