vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06440102,1.09275770,-1.37671256,-0.00963333,0.35450080,-1.35487378,0.07316876,1.34273589,-1.58708405,-0.09150548,0.61840093,-1.58625627,0.87214413,0.04586163,0.33071442,0.32670012,0.31092540,0.13461450,-0.30563561,0.07587429,-0.12655536,-0.30353415,-0.12947271,0.11054801,-0.30867879,-0.33894593,-0.12669028,-0.27287318,0.00000000,0.00000000,-0.00954645,-0.01839087,-0.14069295,0.98983642,0.33610916,0.04273522,0.02106451,0.03764343,-0.14267494,0.02316597,-0.09357929,0.14222153,0.01802133,-0.36081600,-0.02732368,0.05382694,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.78492463,0.02804740,-0.08222019,0.22990755,0.23581743,0.01593266,0.05834916,1.10978522,-1.38129725,-0.02100286,0.42300150,-1.40536492,0.05709232,1.34013336,-1.62883337,-0.09279205,0.67461556,-1.60881374,0.87214413,0.04586163,0.33071442,0.32556740,0.29354008,0.13204595,-0.30612644,0.06985811,-0.12760507,-0.30149723,-0.14499884,0.11122044,-0.30671708,-0.33137803,-0.13017174,-0.26769647,0.01526489,-0.00384534,-0.00764543,-0.01576647,-0.14055847,0.98991731,0.33395195,0.04132622,0.01944096,0.04686604,-0.14584737,0.02407017,-0.09306889,0.14332273,0.01885032,-0.33924503,-0.03669030,0.05787093,-0.30008851,0.81104994,-0.23539494,-0.57149020,3.43109021,-2.52753043,-0.81403170,-0.17157267,-2.09737153,-0.06541004,2.80780697,-1.11471308
0.80492094,0.00746971,-0.06652380,0.40881837,0.32997208,0.01602246,0.05532860,1.10623679,-1.40872912,-0.03332629,0.49424856,-1.45603974,0.03438389,1.30770161,-1.67476923,-0.09493881,0.72684766,-1.62128766,0.87214413,0.04586163,0.33071442,0.32463349,0.27481709,0.13013101,-0.30613516,0.07393190,-0.12681158,-0.30115835,-0.16128290,0.11238983,-0.30482188,-0.31615058,-0.13446500,-0.26451609,0.03078918,-0.00816180,-0.00414887,-0.01199693,-0.14040977,0.99001210,0.33094978,0.04043996,0.01849833,0.06655293,-0.15052773,0.02347514,-0.09289150,0.14463459,0.01981162,-0.31028042,-0.04943593,0.06011741,-0.13323886,-0.18155049,-1.56926382,-0.61064256,3.55954003,-2.52070975,-1.15069280,-1.71264822,-2.28912864,-0.11053124,2.58640099,-0.58866259
0.82247284,-0.01475119,-0.05478963,0.52458201,0.38387811,-0.05656117,0.05781301,1.09287481,-1.49002931,-0.04242459,0.55933568,-1.49962313,0.00963699,1.25099964,-1.71724226,-0.09806626,0.77253237,-1.62587109,0.87214413,0.04586163,0.33071442,0.32377220,0.25696285,0.12987350,-0.30568215,0.09095837,-0.12395750,-0.29829319,-0.17714806,0.11380805,-0.30274430,-0.29604844,-0.13875471,-0.26276624,0.04649448,-0.01299256,0.00046028,-0.00747119,-0.14092868,0.98999145,0.32949238,0.04000959,0.01809005,0.09924583,-0.15740925,0.02547901,-0.09185467,0.14573116,0.02102790,-0.27651463,-0.06361532,0.06100596,0.14369236,-0.75797653,-4.20835123,-0.43372180,3.19838166,-2.13431723,-1.22718697,-2.89567828,-2.10435247,-0.15979295,2.26916876,-0.22033309
0.83661981,-0.02995553,-0.03866358,0.54062203,0.30946080,-0.16741274,0.06512089,1.05627375,-1.59402688,-0.04789587,0.61309135,-1.53100579,-0.01148658,1.17921724,-1.75137794,-0.10238101,0.81942267,-1.63117208,0.87214413,0.04586163,0.33071442,0.32305941,0.24171123,0.13092281,-0.30497304,0.11857291,-0.11970545,-0.29390811,-0.19288381,0.11513937,-0.29991944,-0.27353440,-0.14198229,-0.26229029,0.06237316,-0.01824081,0.00535198,-0.00352141,-0.14249558,0.98977471,0.33120174,0.03917254,0.01808637,0.14235840,-0.16653542,0.02915130,-0.09019260,0.14663770,0.02313997,-0.24010601,-0.07728647,0.06076912,0.39415676,-1.97256660,-5.28350925,-0.25848711,2.63044286,-1.49197757,-1.03010311,-3.67934394,-1.64270916,-0.22419010,2.37163763,-0.28106401
0.82821620,-0.03870119,-0.00937820,0.51743286,0.15124186,-0.28535090,0.07829216,0.98792642,-1.70056522,-0.05173642,0.66117114,-1.55011606,-0.02826644,1.08827126,-1.77229369,-0.10669218,0.87016487,-1.63512218,0.87214413,0.04586163,0.33071442,0.32276899,0.22772078,0.13253154,-0.30442025,0.15458640,-0.11403618,-0.28756447,-0.20897794,0.11661644,-0.29697724,-0.24771144,-0.14401033,-0.26392253,0.07806110,-0.02371223,0.01025409,-0.00106748,-0.14518104,0.98935139,0.33425713,0.03780980,0.01834874,0.19336891,-0.17735244,0.03520451,-0.08860397,0.14802574,0.02579175,-0.20058060,-0.09048597,0.05884646,0.70281607,-3.66357183,-5.31050873,-0.18325856,2.37590051,-0.87136739,-0.80859369,-4.69382238,-0.94562525,-0.21129636,2.56206727,-0.17598866
0.79562722,-0.04174199,0.03124567,0.45816845,-0.03436399,-0.39650032,0.09437050,0.86779392,-1.77877545,-0.05483145,0.71031574,-1.55839248,-0.04011576,0.97328466,-1.76979756,-0.11245581,0.92402267,-1.63161097,0.87214413,0.04586163,0.33071442,0.32330196,0.21335231,0.13433831,-0.30390508,0.19818898,-0.10820067,-0.27953997,-0.22581564,0.11765493,-0.29502975,-0.21796291,-0.14482681,-0.26827399,0.09303761,-0.02922075,0.01485971,-0.00073081,-0.14907497,0.98871397,0.33651180,0.03624912,0.01939688,0.25051994,-0.19104031,0.04376199,-0.08805637,0.14977745,0.02827221,-0.15793438,-0.10335373,0.05502797,0.80511507,-6.06502790,-3.84922452,-0.15271276,2.45995522,-0.40000103,-0.58533741,-5.76696997,0.15969371,-0.28741691,2.68422008,0.19188736
0.76025824,-0.03953639,0.05924291,0.33595053,-0.21135519,-0.47506839,0.11031359,0.71238976,-1.81270638,-0.05641739,0.76059564,-1.55677714,-0.04692339,0.84956478,-1.74413610,-0.11833198,0.97272286,-1.61969075,0.87214413,0.04586163,0.33071442,0.32441901,0.19842808,0.13620399,-0.30348058,0.24354948,-0.10319581,-0.27038261,-0.24139085,0.11824418,-0.29457261,-0.18745522,-0.14461982,-0.27426228,0.10730839,-0.03464354,0.01855776,-0.00228955,-0.15370866,0.98793928,0.33773632,0.03484169,0.02093843,0.30799675,-0.20695113,0.05403640,-0.08675175,0.15134541,0.02984640,-0.11522198,-0.11548034,0.05015673,0.78981107,-7.83090982,-1.56018862,-0.07439960,2.51172113,0.11058568,-0.32560572,-6.18512430,1.34028903,-0.29875695,2.42678237,0.59846729
0.73232299,-0.03283772,0.07165595,0.19534581,-0.35415586,-0.50155419,0.12207681,0.54719359,-1.79954467,-0.05610081,0.80897540,-1.54419136,-0.04753006,0.72858735,-1.70117984,-0.12569056,1.02033451,-1.60857139,0.87214413,0.04586163,0.33071442,0.32585698,0.18337065,0.13812138,-0.30334896,0.28589820,-0.09985207,-0.26124657,-0.25553889,0.11795809,-0.29445637,-0.15795133,-0.14312770,-0.28088919,0.12102470,-0.03992518,0.02112830,-0.00546969,-0.15859617,0.98710229,0.33843956,0.03378432,0.02250802,0.36123867,-0.22433088,0.06461041,-0.08468552,0.15216215,0.03140060,-0.07381954,-0.12635366,0.04496779,0.56104897,-8.23632336,0.85629696,0.02505992,2.40453362,0.67935557,0.00212427,-6.02318525,2.20632915,-0.37285563,2.38615012,0.54304643
0.71754858,-0.02322158,0.07055827,0.07248907,-0.44152367,-0.46095249,0.12744820,0.40134650,-1.74836731,-0.05340215,0.85258635,-1.51757231,-0.03986218,0.60997173,-1.64307094,-0.13475354,1.07140224,-1.59955978,0.87214413,0.04586163,0.33071442,0.32741457,0.16801771,0.14024958,-0.30407432,0.32091765,-0.09812156,-0.25448309,-0.26959740,0.11678166,-0.29412289,-0.12901225,-0.13970260,-0.28801111,0.13444443,-0.04506362,0.02263058,-0.00971379,-0.16312079,0.98629869,0.33869324,0.03356411,0.02334025,0.40662632,-0.24136186,0.07293148,-0.08314171,0.15236229,0.03329168,-0.03270321,-0.13574242,0.03940345,0.23176296,-7.12234783,2.74081256,0.14952299,2.14731355,1.42121876,0.43368141,-5.93284845,2.99845481,-0.46526632,2.58237910,0.44242427
