vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09257588,0.71814322,-1.49340260,0.22584683,0.71945411,-1.01647997,-0.07506398,0.99467474,-1.57789624,0.01508732,1.02732062,-1.51266396,0.91537810,0.06138749,0.33262468,0.33623713,0.12930812,0.24243382,-0.31264387,0.21655303,-0.09147591,-0.31746829,-0.26341226,0.16565499,-0.29874812,-0.24140264,-0.14467345,-0.30691555,0.00000000,0.00000000,0.03237507,-0.02267246,-0.01786434,0.99905890,0.13823700,0.23745584,0.02359326,0.21300030,-0.09946823,0.01876885,-0.25706768,0.17533910,0.03748901,-0.24661732,-0.13559330,0.02932158,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00263856,-0.00014151,-0.00204423,0.00436231,-0.00250182,0.00099455,0.09257588,0.71814322,-1.49340260,0.22584683,0.71945411,-1.01647997,-0.07506398,0.99467474,-1.57789624,0.01508732,1.02732062,-1.51266396,0.91537810,0.06138749,0.33262468,0.33619834,0.12932064,0.24246243,-0.31261599,0.21656943,-0.09144649,-0.31746620,-0.26339749,0.16568079,-0.29874581,-0.24138697,-0.14464683,-0.30694005,0.00005531,-0.00000196,0.03241975,-0.02269676,-0.01785361,0.99905709,0.13830166,0.23748448,0.02358235,0.21307487,-0.09943759,0.01873215,-0.25699978,0.17535779,0.03745254,-0.24654293,-0.13557363,0.02925829,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00133542,-0.00054474,-0.00176130,0.00457409,-0.00151785,-0.00058802,0.09257588,0.71814322,-1.49340260,0.22584683,0.71945411,-1.01647997,-0.07506398,0.99467474,-1.57789624,0.01508732,1.02732062,-1.51266396,0.91537810,0.06138749,0.33262468,0.33616371,0.12932866,0.24249062,-0.31259099,0.21657817,-0.09141754,-0.31746851,-0.26339054,0.16570632,-0.29873815,-0.24137824,-0.14462052,-0.30695935,0.00008430,-0.00001130,0.03246364,-0.02271124,-0.01786119,0.99905520,0.13834400,0.23750050,0.02357273,0.21311188,-0.09942219,0.01869520,-0.25695972,0.17537835,0.03742557,-0.24650669,-0.13555255,0.02920437,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00077110,-0.00033221,-0.00130335,0.00565275,-0.00075899,0.00042545,0.09257588,0.71814322,-1.49340260,0.22584683,0.71945411,-1.01647997,-0.07506398,0.99467474,-1.57789624,0.01508732,1.02732062,-1.51266396,0.91537810,0.06138749,0.33262468,0.33613648,0.12933215,0.24252754,-0.31256111,0.21658270,-0.09137964,-0.31747607,-0.26338771,0.16573956,-0.29872262,-0.24137371,-0.14458618,-0.30697944,0.00010090,-0.00001788,0.03252144,-0.02271911,-0.01785785,0.99905320,0.13836460,0.23753119,0.02357537,0.21313477,-0.09939029,0.01866041,-0.25693970,0.17540395,0.03741385,-0.24648380,-0.13552587,0.02915703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00535552,0.00009969,0.00591424,0.00477538,0.01224875,-0.00127620,0.09143336,0.71867137,-1.49288476,0.22503183,0.71802970,-1.01364555,-0.07545061,0.99345237,-1.57743638,0.01464281,1.02695966,-1.51073258,0.91537810,0.06138749,0.33262468,0.33623547,0.12922595,0.24237664,-0.31300345,0.21627511,-0.09170736,-0.31756895,-0.26369374,0.16565419,-0.29893811,-0.24115570,-0.14467421,-0.30702083,0.00018826,-0.00002608,0.03256786,-0.02261689,-0.01787226,0.99905375,0.13834591,0.23737283,0.02323202,0.21290016,-0.09971964,0.01866652,-0.25715714,0.17532799,0.03729736,-0.24618511,-0.13562424,0.02921464,-0.06855082,0.03168869,0.03107071,-0.04889989,-0.08546447,0.17006491,-0.02319753,-0.07334232,0.02759171,-0.02667077,-0.02165794,0.11588286
0.02111492,-0.00067156,0.00780848,-0.02128755,0.01857999,-0.00774954,0.09047715,0.71861035,-1.49210787,0.22339320,0.71980911,-1.01616502,-0.07518278,0.99111706,-1.57361722,0.01495047,1.02893245,-1.50975060,0.91537810,0.06138749,0.33262468,0.33640626,0.12898720,0.24165302,-0.31317692,0.21606783,-0.09211424,-0.31768636,-0.26457370,0.16563668,-0.29883443,-0.24122975,-0.14470582,-0.30750178,0.00055313,-0.00006068,0.03239365,-0.02244186,-0.01794163,0.99906212,0.13847351,0.23660755,0.02322935,0.21303082,-0.10017848,0.01871990,-0.25765133,0.17533946,0.03757183,-0.24591160,-0.13565826,0.02890448,-0.04023492,-0.01158357,0.03884554,-0.08609264,0.12813091,-0.19368409,0.02186894,-0.12178301,0.22225140,0.02512766,0.12378215,0.02994776
0.05930272,-0.00327065,0.00509587,-0.06485748,0.07714716,-0.01956789,0.08057236,0.71808907,-1.48623018,0.20819257,0.72724390,-1.04886613,-0.07309198,0.98974940,-1.57056625,0.01949192,1.03376708,-1.50994823,0.91537810,0.06138749,0.33262468,0.33655311,0.13249179,0.23558945,-0.31382143,0.21488354,-0.09563236,-0.31828541,-0.26644084,0.16653233,-0.29776293,-0.24179330,-0.14449345,-0.30760999,0.00170116,-0.00017409,0.03173393,-0.02171315,-0.01814709,0.99909568,0.14297428,0.23025675,0.02273168,0.21282940,-0.10383389,0.01826770,-0.25827675,0.17627766,0.03879018,-0.24536400,-0.13545587,0.02894312,-0.50695258,-0.02804661,0.29589414,-0.77972560,0.38582965,-1.68505368,0.10458728,-0.06444740,0.14948701,0.22941355,0.23883533,-0.01201773
0.11575343,-0.00698394,0.00306936,-0.07172997,0.15012933,-0.01341819,0.06456162,0.71666390,-1.48002887,0.18086877,0.74376855,-1.11053543,-0.07148686,0.99082223,-1.56978877,0.02380211,1.03647213,-1.51391585,0.91537810,0.06138749,0.33262468,0.33669995,0.13801136,0.22486309,-0.31387249,0.21345333,-0.10121248,-0.31883156,-0.26739144,0.16727471,-0.29611979,-0.24313931,-0.14448895,-0.30688123,0.00393581,-0.00039697,0.03097406,-0.02025590,-0.01832069,0.99914697,0.15036907,0.21907477,0.02282746,0.21340046,-0.10962541,0.01786839,-0.25692482,0.17689021,0.04058016,-0.24450417,-0.13556855,0.02981873,-0.80303215,-0.07038402,0.30325267,-1.38895106,0.84667894,-3.12315536,0.07516220,0.05836773,0.03144693,0.20149176,0.12843703,-0.22539853
0.17568476,-0.01496075,-0.01527436,-0.04315769,0.14075817,-0.00499889,0.05040335,0.71740758,-1.47935081,0.14819119,0.76615630,-1.17753866,-0.07171063,0.99355240,-1.57308531,0.02150392,1.03860846,-1.53320329,0.91537810,0.06138749,0.33262468,0.33655640,0.14239719,0.21248577,-0.31324070,0.21216617,-0.10611685,-0.31864997,-0.26531358,0.16614549,-0.29358671,-0.24426685,-0.14485488,-0.30546344,0.00734901,-0.00079172,0.03048714,-0.01880653,-0.01840704,0.99918869,0.15770874,0.20613608,0.02331570,0.21533451,-0.11488512,0.01790643,-0.25146713,0.17530434,0.04296969,-0.24223995,-0.13627079,0.03109296,-0.68439829,0.05712390,-0.00770330,-1.64189410,1.13712566,-3.32411933,-0.01928964,0.14362978,-0.19071291,-0.15295778,0.11475991,-1.06353513
0.23046323,-0.02734869,-0.06131046,-0.02742668,0.04870601,-0.01511790,0.04360937,0.72398357,-1.48994970,0.11604811,0.79757737,-1.24257352,-0.07164605,0.99969423,-1.58697643,0.01102212,1.04382043,-1.57685511,0.91537810,0.06138749,0.33262468,0.33557795,0.14371847,0.20052678,-0.31110267,0.21128407,-0.10866985,-0.31693360,-0.25923163,0.16260581,-0.28939874,-0.24403646,-0.14499565,-0.30306030,0.01185608,-0.00141337,0.03019193,-0.01821111,-0.01855409,0.99920596,0.16313019,0.19347668,0.02447528,0.21883450,-0.11807539,0.01864435,-0.24097443,0.17097695,0.04617921,-0.23754139,-0.13698046,0.03251765,-0.28957090,0.36718295,-0.60110802,-1.59379387,1.64364827,-3.25810122,0.01421383,0.33408663,-0.77461619,-0.56787788,0.28341148,-2.32707145
0.28203294,-0.03777819,-0.10720592,-0.05681584,-0.05948214,-0.02554676,0.04616887,0.73560303,-1.50988960,0.08758353,0.84116799,-1.30860448,-0.06902382,1.01065874,-1.60958803,-0.00371220,1.04798687,-1.63530993,0.91537810,0.06138749,0.33262468,0.33371675,0.14179803,0.18974534,-0.30674435,0.21090386,-0.10847867,-0.31394421,-0.24979018,0.15774749,-0.28426595,-0.24306798,-0.14449587,-0.30001564,0.01739788,-0.00223303,0.02967891,-0.01867170,-0.01877353,0.99920873,0.16642380,0.18188989,0.02697240,0.22395134,-0.11878228,0.01977254,-0.22610855,0.16505122,0.04945080,-0.23107338,-0.13722610,0.03370111,0.19644587,0.61221594,-1.05482340,-1.39312410,2.26492882,-3.30832934,0.15119566,0.58295482,-1.17775428,-0.75734740,0.18646000,-2.99853063
0.32555687,-0.04010031,-0.12672110,-0.08840553,-0.10292469,-0.02849598,0.05609110,0.74971850,-1.53323467,0.06395823,0.89166614,-1.37813802,-0.06336541,1.02564626,-1.63135059,-0.01912545,1.03573356,-1.69133267,0.91537810,0.06138749,0.33262468,0.33139107,0.13885933,0.18054219,-0.30015820,0.21064285,-0.10624792,-0.31055655,-0.23625891,0.15274721,-0.27995876,-0.24303773,-0.14333603,-0.29732565,0.02395267,-0.00314436,0.02881454,-0.01972411,-0.01901248,0.99920929,0.16977558,0.17182157,0.03123286,0.23027325,-0.11755962,0.02083452,-0.20614338,0.15873766,0.05143230,-0.22451172,-0.13685300,0.03406542,0.49964161,0.71252769,-1.16398420,-1.17777288,2.52153802,-3.49393392,0.28425036,0.75692362,-1.07823371,-0.76998218,-0.65102572,-2.78122020
0.35364171,-0.03609987,-0.12794252,-0.10236904,-0.11526700,-0.01963030,0.06784784,0.76922152,-1.55423672,0.04150354,0.93604146,-1.46260667,-0.05722812,1.04620762,-1.64534585,-0.03381104,0.99367630,-1.72965136,0.91537810,0.06138749,0.33262468,0.32908272,0.14088338,0.17187196,-0.29141421,0.20848633,-0.10353920,-0.30759076,-0.21780879,0.14810548,-0.27816643,-0.24582492,-0.14214493,-0.29536822,0.03108044,-0.00401039,0.02781242,-0.02088485,-0.01916574,0.99921117,0.17864208,0.16216319,0.03766851,0.23531475,-0.11570311,0.02149196,-0.18070889,0.15258203,0.05091629,-0.22016678,-0.13633540,0.03371450,0.58852999,0.99525396,-1.04301736,-1.12848847,2.17438440,-4.28649726,0.30500242,1.04606715,-0.67156215,-0.73040406,-2.20910008,-1.83847604
0.36107476,-0.02643437,-0.13173353,-0.10902533,-0.17570201,0.01063875,0.07918984,0.79581176,-1.57408664,0.01637733,0.95744309,-1.56596463,-0.05126136,1.07306290,-1.65045421,-0.04633321,0.92069776,-1.74259934,0.91537810,0.06138749,0.33262468,0.32675374,0.15340611,0.16277590,-0.28065632,0.20440461,-0.10102530,-0.30456112,-0.19480723,0.14414187,-0.27930984,-0.25154614,-0.14104714,-0.29436298,0.03838863,-0.00470369,0.02676334,-0.02258348,-0.01902599,0.99920555,0.19806843,0.15192258,0.04609742,0.23866844,-0.11367779,0.02219262,-0.15060806,0.14697685,0.04744391,-0.21850224,-0.13576412,0.03239076,0.56156682,1.36017811,-0.99514530,-1.27151752,0.92910784,-5.23066044,0.30035723,1.36970460,-0.22295092,-0.61222500,-3.74566460,-0.54860829
0.36618170,-0.01315205,-0.13982908,-0.11888213,-0.28667831,0.05979816,0.08724087,0.82651757,-1.59056361,-0.01123721,0.93710911,-1.67038476,-0.04507133,1.10733399,-1.65066783,-0.05581282,0.83076968,-1.73204145,0.91537810,0.06138749,0.33262468,0.32432495,0.17776106,0.15355933,-0.26908531,0.19930175,-0.09955640,-0.30137326,-0.16983222,0.14096241,-0.28237533,-0.25953249,-0.13993588,-0.29389406,0.04581242,-0.00513527,0.02565195,-0.02532188,-0.01838729,0.99918101,0.22929363,0.14154160,0.05523964,0.24117737,-0.11221094,0.02295169,-0.11852722,0.14219384,0.04194961,-0.21886196,-0.13508387,0.03043089,0.37517494,1.54577982,-0.78746934,-1.39040275,-1.29308143,-5.16886520,0.30971484,1.76077211,0.00579929,-0.45743829,-4.56916142,0.66416211
0.37779875,0.00172186,-0.14722544,-0.13102160,-0.36605625,0.09420602,0.09186805,0.85628569,-1.60182035,-0.03908384,0.86687344,-1.75460720,-0.03849031,1.14956415,-1.65172565,-0.06352895,0.73527670,-1.70078361,0.91537810,0.06138749,0.33262468,0.32182851,0.21121448,0.14489732,-0.25732513,0.19426834,-0.09913389,-0.29834881,-0.14504519,0.13814479,-0.28682750,-0.26903583,-0.13879575,-0.29296809,0.05348492,-0.00527549,0.02444813,-0.02888135,-0.01736460,0.99913294,0.26980209,0.13188744,0.06450339,0.24404049,-0.11137116,0.02347970,-0.08646870,0.13802516,0.03500102,-0.22039509,-0.13424945,0.02886042,0.21080865,1.47378433,-0.52882433,-1.38981450,-3.87260890,-4.03521538,0.33285430,2.16748953,-0.06957293,-0.37644309,-4.79391909,1.70175779
0.39022751,0.01714081,-0.15488477,-0.19018006,-0.37938629,0.07113044,0.09494960,0.88448460,-1.60864077,-0.06291032,0.74445554,-1.79906359,-0.03090733,1.19470444,-1.64972100,-0.07044048,0.65893672,-1.66590085,0.91537810,0.06138749,0.33262468,0.31925697,0.25058254,0.13765764,-0.24514776,0.18922204,-0.09948989,-0.29559742,-0.12524254,0.13515144,-0.29094157,-0.27963578,-0.13775203,-0.29181373,0.06147461,-0.00507362,0.02265220,-0.03268947,-0.01648989,0.99907275,0.31665745,0.12385643,0.07410922,0.24715137,-0.11103284,0.02365955,-0.05903034,0.13431849,0.02831540,-0.22274742,-0.13309560,0.02744325,0.15300982,1.40791070,-0.33465812,-1.17587860,-6.15705347,-2.15734128,0.38088919,2.26017232,0.09688138,-0.34509119,-3.77019877,1.73066700
