vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04240939,0.57600421,-1.38187194,-0.20169784,0.93599212,-1.50064492,0.03085656,0.78852820,-1.57355547,-0.02143559,1.16640949,-1.53920949,0.49019909,-0.02713372,-0.02408939,0.33638149,0.15178362,0.07102304,-0.31376298,0.24712402,-0.13597395,-0.31473105,-0.29685566,0.12906561,-0.30259019,-0.17863855,-0.13992823,-0.30967714,0.00000000,0.00000000,-0.01388195,-0.02406347,-0.07652513,0.99668056,0.16081858,0.04711610,0.02261852,0.22357321,-0.17197156,0.02165045,-0.27377701,0.17270601,0.03379130,-0.19783926,-0.11113626,0.02670436,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00290661,0.00017109,0.00179235,0.00697125,0.00965098,0.00433205,0.04240939,0.57600421,-1.38187194,-0.20169784,0.93599212,-1.50064492,0.03085656,0.78852820,-1.57355547,-0.02143559,1.16640949,-1.53920949,0.49019909,-0.02713372,-0.02408939,0.33642110,0.15171655,0.07105746,-0.31378748,0.24705842,-0.13593881,-0.31479808,-0.29692074,0.12909641,-0.30251338,-0.17870349,-0.13989601,-0.30965424,0.00005665,-0.00000458,-0.01381945,-0.02396242,-0.07648273,0.99668712,0.16081038,0.04716866,0.02263362,0.22358418,-0.17191347,0.02162302,-0.27379389,0.17271975,0.03390772,-0.19783297,-0.11111501,0.02676686,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00184372,0.00034041,0.00056084,0.00623200,0.00886333,0.00509089,0.04240939,0.57600421,-1.38187194,-0.20169784,0.93599212,-1.50064492,0.03085656,0.78852820,-1.57355547,-0.02143559,1.16640949,-1.53920949,0.49019909,-0.02713372,-0.02408939,0.33643430,0.15165456,0.07109070,-0.31380997,0.24699740,-0.13590491,-0.31486069,-0.29698095,0.12912607,-0.30244166,-0.17876347,-0.13986488,-0.30963357,0.00009518,-0.00000319,-0.01375923,-0.02386911,-0.07643173,0.99669411,0.16078806,0.04722805,0.02262433,0.22358437,-0.17184743,0.02157361,-0.27382727,0.17273279,0.03399264,-0.19783812,-0.11109313,0.02680072,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00107266,0.00045502,0.00015589,0.00449146,0.00630185,0.00562389,0.04240939,0.57600421,-1.38187194,-0.20169784,0.93599212,-1.50064492,0.03085656,0.78852820,-1.57355547,-0.02143559,1.16640949,-1.53920949,0.49019909,-0.02713372,-0.02408939,0.33643925,0.15160930,0.07111108,-0.31382727,0.24695211,-0.13588424,-0.31490487,-0.29702491,0.12914431,-0.30239069,-0.17880779,-0.13984589,-0.30961669,0.00011806,0.00000210,-0.01372090,-0.02380052,-0.07637758,0.99670043,0.16076431,0.04727733,0.02261198,0.22358379,-0.17179121,0.02153438,-0.27386332,0.17273383,0.03404856,-0.19784441,-0.11108326,0.02682256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00077250,0.00034324,-0.00003011,0.00440948,0.00509291,0.00498086,0.04125422,0.57626895,-1.38239121,-0.20215786,0.93512537,-1.49949450,0.03006978,0.78689885,-1.57109442,-0.02125809,1.16521101,-1.53730242,0.49019909,-0.02713372,-0.02408939,0.33643925,0.15164034,0.07094763,-0.31402373,0.24689827,-0.13623939,-0.31477072,-0.29708617,0.12920389,-0.30262317,-0.17870838,-0.14005796,-0.30989807,0.00013485,0.00000710,-0.01367767,-0.02374715,-0.07632607,0.99670624,0.16078224,0.04713221,0.02241552,0.22351074,-0.17210664,0.02166854,-0.27391539,0.17277951,0.03381608,-0.19775038,-0.11132282,0.02654118,-0.06931042,0.01588440,-0.03115654,-0.02760100,-0.05200481,0.06902503,-0.04720688,-0.09776115,0.14766310,0.01064980,-0.07190894,0.11442374
0.00020596,0.00051445,-0.00024589,0.00203550,0.00393822,0.00589556,0.04096542,0.57633513,-1.38252103,-0.20227286,0.93490869,-1.49920690,0.02987309,0.78649151,-1.57047915,-0.02121372,1.16491139,-1.53682566,0.49019909,-0.02713372,-0.02408939,0.33643514,0.15162947,0.07091183,-0.31408088,0.24686594,-0.13632307,-0.31475419,-0.29711974,0.12922335,-0.30266137,-0.17870230,-0.14010628,-0.30995983,0.00014257,0.00001550,-0.01365572,-0.02370489,-0.07626939,0.99671188,0.16076851,0.04712486,0.02235426,0.22349310,-0.17215103,0.02168095,-0.27395725,0.17278153,0.03377376,-0.19773149,-0.11138529,0.02647531,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00059878,0.00077893,-0.00001118,0.00324688,0.00226813,0.00452751,0.04096542,0.57633513,-1.38252103,-0.20227286,0.93490869,-1.49920690,0.02987309,0.78649151,-1.57047915,-0.02121372,1.16491139,-1.53682566,0.49019909,-0.02713372,-0.02408939,0.33643514,0.15161204,0.07093073,-0.31408502,0.24684954,-0.13630388,-0.31477567,-0.29713679,0.12924015,-0.30263755,-0.17871866,-0.14008860,-0.30995824,0.00015697,0.00002909,-0.01362344,-0.02368047,-0.07622468,0.99671633,0.16076441,0.04717387,0.02235012,0.22350931,-0.17209638,0.02165947,-0.27397232,0.17279024,0.03379759,-0.19772081,-0.11136911,0.02647690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.00053581,0.00073810,-0.00094762,-0.00075677,-0.00086502,0.00392990,0.04096542,0.57633513,-1.38252103,-0.20227286,0.93490869,-1.49920690,0.02987309,0.78649151,-1.57047915,-0.02121372,1.16491139,-1.53682566,0.49019909,-0.02713372,-0.02408939,0.33641863,0.15161440,0.07092900,-0.31408432,0.24685163,-0.13630564,-0.31477320,-0.29713484,0.12923855,-0.30264030,-0.17871628,-0.14009026,-0.30995874,0.00015182,0.00004449,-0.01362544,-0.02368433,-0.07618471,0.99671926,0.16075754,0.04720012,0.02233430,0.22351980,-0.17206508,0.02164543,-0.27398968,0.17278173,0.03377833,-0.19771490,-0.11137161,0.02645989,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.00087728,0.00088650,-0.00167070,-0.00471179,-0.00664020,0.00426881,0.04096542,0.57633513,-1.38252103,-0.20227286,0.93490869,-1.49920690,0.02987309,0.78649151,-1.57047915,-0.02121372,1.16491139,-1.53682566,0.49019909,-0.02713372,-0.02408939,0.33638149,0.15166000,0.07090547,-0.31406784,0.24689599,-0.13632973,-0.31472788,-0.29709062,0.12921750,-0.30269230,-0.17867303,-0.14011246,-0.30997405,0.00013609,0.00006337,-0.01366643,-0.02375339,-0.07614364,0.99672020,0.16077929,0.04720259,0.02231365,0.22355900,-0.17205760,0.02165361,-0.27397966,0.17274965,0.03368919,-0.19768171,-0.11139815,0.02640744,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00008200,0.00061675,-0.00063394,-0.00224759,-0.00847396,0.00309762,0.04096542,0.57633513,-1.38252103,-0.20227286,0.93490869,-1.49920690,0.02987309,0.78649151,-1.57047915,-0.02121372,1.16491139,-1.53682566,0.49019909,-0.02713372,-0.02408939,0.33636666,0.15171408,0.07089652,-0.31404383,0.24694972,-0.13633876,-0.31468182,-0.29703867,0.12920956,-0.30274674,-0.17862037,-0.14012076,-0.31000076,0.00013914,0.00007634,-0.01368587,-0.02383814,-0.07611018,0.99672046,0.16083117,0.04720969,0.02232282,0.22362576,-0.17204616,0.02168484,-0.27393847,0.17272786,0.03361992,-0.19762011,-0.11141510,0.02636590,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
