vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08762769,0.69556355,-1.47797120,0.15141150,0.82213050,-1.12706196,0.01595886,0.85165352,-1.61197460,-0.04383822,1.10271728,-1.52122307,0.92825503,-0.01203541,-0.01879054,0.33693424,0.11575073,0.21366432,-0.31204210,0.22191586,-0.09376011,-0.31838803,-0.28348763,0.14733909,-0.29929665,-0.19268764,-0.11849821,-0.31332101,0.00000000,0.00000000,0.02443014,0.03012817,0.99811309,0.04759960,-0.13584805,-0.20148444,0.02489214,-0.21182156,0.11475730,0.01854621,0.26793003,-0.17403316,0.03763759,0.20323277,0.09933174,0.02361323,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00252268,-0.00066186,-0.00116717,-0.00474028,0.00562478,-0.00209899,0.08762769,0.69556355,-1.47797120,0.15141150,0.82213050,-1.12706196,0.01595886,0.85165352,-1.61197460,-0.04383822,1.10271728,-1.52122307,0.92825503,-0.01203541,-0.01879054,0.33691280,0.11578161,0.21369701,-0.31200775,0.22195050,-0.09372591,-0.31837457,-0.28345670,0.14736867,-0.29931104,-0.19265425,-0.11846650,-0.31335354,-0.00005112,0.00001640,0.02448557,0.03017699,0.99810929,0.04761992,-0.13594246,-0.20149126,0.02490506,-0.21190510,0.11475289,0.01853824,0.26783714,-0.17405572,0.03760176,0.20314999,0.09931033,0.02355927,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00172338,-0.00106930,-0.00130328,-0.00647617,0.00355560,-0.00210884,0.08762769,0.69556355,-1.47797120,0.15141150,0.82213050,-1.12706196,0.01595886,0.85165352,-1.61197460,-0.04383822,1.10271728,-1.52122307,0.92825503,-0.01203541,-0.01879054,0.33688640,0.11579828,0.21373994,-0.31197208,0.22196940,-0.09368135,-0.31837437,-0.28344098,0.14740753,-0.29930754,-0.19263502,-0.11842520,-0.31338077,-0.00008545,0.00003948,0.02451851,0.03024268,0.99810546,0.04764154,-0.13600731,-0.20150270,0.02491432,-0.21195698,0.11474373,0.01851203,0.26777496,-0.17408280,0.03757886,0.20309734,0.09928429,0.02350563,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00131256,-0.00102262,-0.00054245,-0.00631470,0.00454622,-0.00206506,0.08762769,0.69556355,-1.47797120,0.15141150,0.82213050,-1.12706196,0.01595886,0.85165352,-1.61197460,-0.04383822,1.10271728,-1.52122307,0.92825503,-0.01203541,-0.01879054,0.33687403,0.11582011,0.21378291,-0.31193448,0.22199413,-0.09363692,-0.31837032,-0.28341915,0.14744630,-0.29930895,-0.19261013,-0.11838405,-0.31341126,-0.00011063,0.00006180,0.02456000,0.03030775,0.99810147,0.04766239,-0.13606796,-0.20151458,0.02493954,-0.21200562,0.11473429,0.01850371,0.26771603,-0.17410970,0.03756508,0.20304813,0.09925840,0.02346277,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00083128,-0.00080621,-0.00023588,-0.00376163,0.00253244,-0.00125993,0.08732733,0.69676380,-1.47849324,0.15185911,0.82218620,-1.12573264,0.01538233,0.85234660,-1.61250198,-0.04379193,1.10436609,-1.52193317,0.92825503,-0.01203541,-0.01879054,0.33686908,0.11554623,0.21397115,-0.31192586,0.22170912,-0.09371485,-0.31830547,-0.28375613,0.14748046,-0.29908929,-0.19272159,-0.11853746,-0.31330928,-0.00012741,0.00007992,0.02458806,0.03035031,0.99809882,0.04767638,-0.13583679,-0.20170598,0.02494322,-0.21172752,0.11480916,0.01856361,0.26802578,-0.17416673,0.03777978,0.20316029,0.09941194,0.02355980,-0.01802194,0.07201480,-0.03132248,0.02685642,0.00334167,0.07975959,-0.03459146,0.04158497,-0.03164291,0.00277716,0.09892845,-0.04260635
0.00022566,-0.00052528,-0.00047378,-0.00463958,0.00351192,0.00064026,0.08725224,0.69706386,-1.47862375,0.15197101,0.82220012,-1.12540030,0.01523820,0.85251987,-1.61263382,-0.04378036,1.10477829,-1.52211070,0.92825503,-0.01203541,-0.01879054,0.33686000,0.11549055,0.21404108,-0.31190339,0.22165206,-0.09371073,-0.31828639,-0.28382746,0.14750950,-0.29903609,-0.19273596,-0.11855405,-0.31330067,-0.00013256,0.00009120,0.02461819,0.03039581,0.99809685,0.04767294,-0.13579273,-0.20177007,0.02495661,-0.21167660,0.11481023,0.01857361,0.26808929,-0.17419052,0.03782392,0.20317078,0.09943891,0.02355933,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00063538,-0.00065486,-0.00018667,-0.00269758,0.00212499,-0.00108688,0.08725224,0.69706386,-1.47862375,0.15197101,0.82220012,-1.12540030,0.01523820,0.85251987,-1.61263382,-0.04378036,1.10477829,-1.52211070,0.92825503,-0.01203541,-0.01879054,0.33685589,0.11550122,0.21405979,-0.31188628,0.22166311,-0.09369101,-0.31828406,-0.28381636,0.14752678,-0.29903744,-0.19272420,-0.11853567,-0.31331478,-0.00014477,0.00010557,0.02463803,0.03042471,0.99809497,0.04768379,-0.13582230,-0.20176997,0.02496961,-0.21169891,0.11481121,0.01857182,0.26806011,-0.17419882,0.03781845,0.20314751,0.09943116,0.02354111,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00024358,-0.00035211,-0.00008834,-0.00050069,0.00248247,-0.00066473,0.08725224,0.69706386,-1.47862375,0.15197101,0.82220012,-1.12540030,0.01523820,0.85251987,-1.61263382,-0.04378036,1.10477829,-1.52211070,0.92825503,-0.01203541,-0.01879054,0.33685423,0.11551714,0.21406389,-0.31187783,0.22167836,-0.09368715,-0.31827400,-0.28380186,0.14753034,-0.29904994,-0.19270917,-0.11853199,-0.31332592,-0.00014896,0.00011263,0.02466370,0.03042940,0.99809386,0.04769074,-0.13584595,-0.20176330,0.02497640,-0.21171684,0.11481926,0.01858023,0.26803837,-0.17419815,0.03780429,0.20312958,0.09943278,0.02352831,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.00091602,-0.00016619,0.00054959,0.00245746,-0.00121057,-0.00032555,0.08725224,0.69706386,-1.47862375,0.15197101,0.82220012,-1.12540030,0.01523820,0.85251987,-1.61263382,-0.04378036,1.10477829,-1.52211070,0.92825503,-0.01203541,-0.01879054,0.33686165,0.11551422,0.21405243,-0.31188694,0.22167469,-0.09369911,-0.31827303,-0.28380538,0.14751994,-0.29905218,-0.19271240,-0.11854310,-0.31331948,-0.00013351,0.00011613,0.02465741,0.03041141,0.99809446,0.04769282,-0.13582706,-0.20174828,0.02497472,-0.21169624,0.11483493,0.01858862,0.26805782,-0.17418542,0.03780947,0.20314960,0.09944644,0.02354217,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.00128061,0.00027264,0.00123389,0.00738570,-0.00232395,0.00034201,0.08762357,0.69672068,-1.47861917,0.15161514,0.82048408,-1.12392888,0.01543991,0.85177853,-1.61225045,-0.04367292,1.10566273,-1.52202411,0.92825503,-0.01203541,-0.01879054,0.33688475,0.11581750,0.21394617,-0.31221367,0.22177185,-0.09362631,-0.31827607,-0.28409259,0.14750799,-0.29898075,-0.19256146,-0.11852119,-0.31336870,-0.00010605,0.00011027,0.02463611,0.03034013,0.99809728,0.04769016,-0.13608913,-0.20162039,0.02467108,-0.21177368,0.11476388,0.01860868,0.26837406,-0.17420449,0.03790401,0.20302372,0.09943542,0.02351606,0.02228021,-0.02059078,0.00027466,-0.02135253,-0.10296249,0.08828544,0.01210266,-0.04448032,0.02300262,0.00644624,0.05306625,0.00519562
