vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.16623177,1.35391462,-1.48692405,0.14787146,1.33163679,-1.58267117,-0.20528710,0.58587718,-2.42668796,0.61690843,0.69251508,-2.45561528,0.30180245,-0.02894963,0.00026191,0.14758851,0.22149104,0.15717438,-0.13156696,0.17898120,-0.20323528,-0.12987571,-0.02856973,0.19098844,-0.13238408,-0.00260371,-0.17257222,-0.13508926,0.00000000,0.00000000,0.01444732,-0.42773068,0.09523980,0.89875865,0.17522798,0.20750234,0.01602154,0.22405986,-0.15210530,0.01771279,-0.07535497,0.17780450,0.01520443,0.04057045,-0.16775574,0.01249924,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.01178392,-0.01482653,-0.02126243,0.10885944,0.02391317,0.20010399,-0.16894028,1.35710471,-1.49118161,0.14547007,1.33085892,-1.58257782,-0.21214263,0.58352591,-2.42902241,0.60771515,0.69014831,-2.46133060,0.30180245,-0.02894963,0.00026191,0.14714629,0.22148543,0.15748418,-0.13130557,0.17875156,-0.20288643,-0.12956260,-0.02894006,0.18998954,-0.13200731,-0.00320032,-0.17267650,-0.13439658,0.00024248,-0.00028396,0.01633191,-0.42758116,0.09659340,0.89865307,0.17511123,0.20774966,0.01584072,0.22419455,-0.15181116,0.01758369,-0.07545661,0.17636032,0.01513899,0.04048461,-0.16823629,0.01274972,-0.13296048,0.15884970,-0.20975875,-0.11411278,-0.04132461,0.00845575,-0.33764342,-0.10601448,-0.11775112,-0.46130273,-0.12464189,-0.28932380
-0.00184601,-0.00106471,-0.00502628,0.01735798,0.00153853,0.00643840,-0.16916826,1.35923154,-1.49293990,0.14702773,1.32966087,-1.58165424,-0.21273398,0.58627361,-2.43146582,0.60076568,0.68595614,-2.46784515,0.30180245,-0.02894963,0.00026191,0.14702420,0.22151889,0.15810181,-0.13114365,0.17843630,-0.20264505,-0.12949524,-0.02925159,0.18881230,-0.13145014,-0.00362295,-0.17258237,-0.13464566,0.00030431,-0.00033123,0.01668525,-0.42759241,0.09670380,0.89862935,0.17507984,0.20828400,0.01588055,0.22386927,-0.15173545,0.01752896,-0.07537611,0.17510598,0.01557406,0.04009002,-0.16830414,0.01237854,0.00107950,0.09898280,-0.07851791,0.08768838,-0.05194759,0.03553819,0.00740951,0.13062929,-0.11811733,-0.31684112,-0.19634485,-0.31593130
0.01212281,0.01193283,0.00250501,-0.06578475,0.00310224,-0.18386335,-0.16698749,1.35919499,-1.49206007,0.14946197,1.33010612,-1.58161933,-0.20691314,0.58762591,-2.43235188,0.60167141,0.68757720,-2.47089887,0.30180245,-0.02894963,0.00026191,0.14722715,0.22137099,0.15819872,-0.13131242,0.17824578,-0.20260448,-0.12968170,-0.02967000,0.18848587,-0.13156517,-0.00355959,-0.17222396,-0.13501727,0.00036442,-0.00006345,0.01531894,-0.42752478,0.09536695,0.89882870,0.17540297,0.20824751,0.01591473,0.22342167,-0.15193708,0.01754545,-0.07527760,0.17510936,0.01566198,0.03977540,-0.16775525,0.01220988,0.10816937,-0.00874328,0.05157995,0.11086696,0.02278518,0.01414061,0.28120939,0.06717253,-0.03683567,0.06257343,0.11265849,-0.13766955
0.00921105,0.00336203,0.00282690,-0.04828816,0.00214130,-0.15743040,-0.16484370,1.35778565,-1.49013522,0.15046694,1.33001523,-1.57966368,-0.20289563,0.58900321,-2.43103781,0.60414529,0.69134259,-2.47113261,0.30180245,-0.02894963,0.00026191,0.14740865,0.22128096,0.15806943,-0.13182642,0.17842911,-0.20253691,-0.12997464,-0.02989994,0.18864515,-0.13199676,-0.00318102,-0.17211170,-0.13547747,0.00042864,0.00005478,0.01416365,-0.42748324,0.09410751,0.89900014,0.17585005,0.20784924,0.01558223,0.22332661,-0.15217742,0.01743401,-0.07510655,0.17548407,0.01541189,0.03982560,-0.16751740,0.01193118,0.10768908,-0.07727908,0.09910440,0.04680115,-0.01042843,0.10459470,0.19267504,0.06955719,0.08023738,0.12208843,0.17810725,0.00149632
0.00441237,0.00260877,-0.00006543,-0.00007781,0.00554654,0.06060642,-0.16448224,1.35749400,-1.48979056,0.15060571,1.32995105,-1.57928097,-0.20229438,0.58923852,-2.43069768,0.60454422,0.69188547,-2.47106171,0.30180245,-0.02894963,0.00026191,0.14748950,0.22125795,0.15805775,-0.13193268,0.17847320,-0.20251318,-0.13004692,-0.02993690,0.18868310,-0.13205716,-0.00310504,-0.17210066,-0.13556609,0.00047509,0.00011668,0.01421166,-0.42742740,0.09437227,0.89899818,0.17573874,0.20801085,0.01555682,0.22351120,-0.15193320,0.01744258,-0.07522206,0.17552327,0.01543234,0.04005449,-0.16739973,0.01192342,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00730313,0.00404780,0.01177004,-0.01159019,-0.02740045,-0.00691168,-0.16428436,1.35764940,-1.48915844,0.15088214,1.33077359,-1.58150203,-0.19851893,0.58978742,-2.43399172,0.60726256,0.69072317,-2.46783485,0.30180245,-0.02894963,0.00026191,0.14774278,0.22133091,0.15797196,-0.13152073,0.17835350,-0.20258695,-0.13004093,-0.02952233,0.18909639,-0.13199805,-0.00337654,-0.17163738,-0.13562236,0.00037499,0.00019741,0.01407240,-0.42765673,0.09439517,0.89888889,0.17565601,0.20808940,0.01622205,0.22336793,-0.15187360,0.01770185,-0.07508584,0.17607998,0.01574473,0.03963663,-0.16692325,0.01212042,0.01117659,0.00162220,0.03932190,0.01397377,0.03571272,-0.09665536,0.17486912,0.02999139,-0.14807795,0.12605165,-0.05025672,0.15037536
0.00329106,-0.00323600,0.01383726,-0.00693581,-0.03276215,-0.02969671,-0.16419384,1.35508745,-1.48520646,0.15103003,1.32895126,-1.57674515,-0.20106899,0.59126283,-2.43021297,0.60502913,0.69284633,-2.46984758,0.30180245,-0.02894963,0.00026191,0.14799357,0.22155139,0.15790106,-0.13216025,0.17867358,-0.20283177,-0.13035534,-0.02950868,0.18880290,-0.13240454,-0.00291888,-0.17216389,-0.13588100,0.00020445,0.00012901,0.01378070,-0.42796627,0.09407316,0.89877984,0.17579709,0.20793898,0.01583332,0.22350921,-0.15218632,0.01763823,-0.07510245,0.17575978,0.01558903,0.03997509,-0.16740374,0.01211257,-0.00296223,-0.12453173,0.19221781,0.00534886,-0.09049272,0.23563527,-0.12124174,0.07030320,0.17654514,-0.11186241,0.09972095,-0.09819602
-0.00585869,-0.01048505,0.00114828,0.03361222,0.00151098,0.13775649,-0.16566531,1.35454600,-1.48462045,0.14996773,1.32860487,-1.57622201,-0.20158776,0.59140452,-2.43105955,0.60266804,0.69203377,-2.46991525,0.30180245,-0.02894963,0.00026191,0.14794655,0.22160343,0.15787499,-0.13217054,0.17875754,-0.20298703,-0.13035560,-0.02934963,0.18868806,-0.13239898,-0.00298425,-0.17208616,-0.13589281,0.00015099,-0.00009466,0.01459589,-0.42798669,0.09507936,0.89865136,0.17542262,0.20802177,0.01577600,0.22385215,-0.15213340,0.01759095,-0.07529228,0.17532740,0.01554757,0.04014332,-0.16749586,0.01205373,-0.07421672,-0.01399898,0.00640297,-0.06112593,-0.00380802,-0.01176309,-0.01814783,0.00068164,-0.06379794,-0.11894988,-0.05711102,0.01118660
-0.00081609,-0.00274747,0.00114755,0.00585512,0.00206055,0.01481628,-0.16617724,1.35480130,-1.48518836,0.14934660,1.32893980,-1.57731164,-0.20150100,0.59123832,-2.43205738,0.60185117,0.69121349,-2.46945214,0.30180245,-0.02894963,0.00026191,0.14792840,0.22161002,0.15781712,-0.13199958,0.17874721,-0.20299609,-0.13027948,-0.02922063,0.18868463,-0.13235208,-0.00310787,-0.17198149,-0.13583919,0.00012931,-0.00018376,0.01489512,-0.42795870,0.09540974,0.89862477,0.17530967,0.20797263,0.01592882,0.22390458,-0.15211336,0.01764892,-0.07528265,0.17522653,0.01557632,0.04006595,-0.16749293,0.01208922,-0.01535797,0.00765896,-0.01703739,-0.01863366,0.01004791,-0.03268861,0.00260282,-0.00498605,-0.02993488,-0.02450609,-0.02460837,0.01389313
