vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.11194278,1.46478868,-1.58965647,0.04267478,1.43559575,-1.67712069,-0.15619719,0.63267237,-2.50268793,0.60865611,0.65672964,-2.38116860,0.79198926,-0.07523095,-0.01574904,0.14741525,0.20691067,0.13145231,-0.13259003,0.16241827,-0.18602848,-0.12773900,-0.01669767,0.19699006,-0.13417380,-0.01510375,-0.16520743,-0.13928925,0.00000000,0.00000000,0.01157777,-0.42043462,0.09138091,0.90263515,0.16943754,0.17715150,0.01482522,0.20221989,-0.14175122,0.01967625,-0.06335747,0.18726913,0.01324145,0.02487379,-0.16402107,0.00812601,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.01320361,0.00835025,0.00508696,-0.01143174,-0.04024443,-0.07920576,-0.10903319,1.46458037,-1.59000502,0.04544754,1.43399975,-1.67372456,-0.14875565,0.63358239,-2.50668583,0.61447798,0.65631453,-2.37598939,0.79198926,-0.07523095,-0.01574904,0.14768007,0.20700458,0.13194971,-0.13286024,0.16283723,-0.18554745,-0.12773279,-0.01633479,0.19788408,-0.13411721,-0.01518224,-0.16446271,-0.13960640,0.00007390,0.00019438,0.01112190,-0.42080300,0.09073065,0.90253481,0.16967581,0.17766780,0.01481983,0.20243248,-0.14120867,0.01994728,-0.06294141,0.18848673,0.01356286,0.02451643,-0.16314895,0.00807367,0.14497562,-0.00608111,-0.02184105,0.13247903,-0.07425498,0.16068505,0.36136255,0.04231882,-0.19087600,0.28677175,-0.02213645,0.25246522
0.00480170,0.00781459,-0.00160486,-0.02941928,-0.04208814,-0.08557159,-0.10803256,1.46654131,-1.59072270,0.04528684,1.43617013,-1.67480512,-0.14648627,0.63477122,-2.50839357,0.61729933,0.65728151,-2.37678723,0.79198926,-0.07523095,-0.01574904,0.14772957,0.20672525,0.13163274,-0.13280395,0.16236566,-0.18551238,-0.12756776,-0.01655677,0.19794654,-0.13407540,-0.01538702,-0.16431082,-0.13967947,0.00007753,0.00037303,0.01042149,-0.42113894,0.09003595,0.90245604,0.16964523,0.17731737,0.01492562,0.20184056,-0.14129252,0.02016181,-0.06299636,0.18873079,0.01365417,0.02413599,-0.16289361,0.00805010,0.03345940,0.09806871,-0.01750661,-0.00657552,0.11845779,-0.05318784,0.11531925,0.07814025,-0.10758017,0.13267135,0.06907439,-0.06718539
0.03201036,-0.00230166,-0.02988557,0.00550686,-0.05792849,0.04594494,-0.10903044,1.46876519,-1.58802440,0.04476116,1.43995955,-1.67449412,-0.14571729,0.63986094,-2.51477423,0.61951301,0.66246901,-2.38059912,0.79198926,-0.07523095,-0.01574904,0.14781620,0.20588035,0.13144007,-0.13296833,0.16139286,-0.18573360,-0.12785556,-0.01739083,0.19787677,-0.13434294,-0.01649232,-0.16406630,-0.13987209,0.00088841,0.00048284,0.01052586,-0.42167496,0.09033513,0.90217460,0.16951205,0.17720090,0.01484787,0.20189488,-0.14143623,0.01996064,-0.06315912,0.18851361,0.01347326,0.02397139,-0.16278665,0.00794411,-0.03673428,0.11378001,0.13231944,-0.03285259,0.18578337,0.02778482,0.01974464,0.25609731,-0.32137582,0.12139963,0.26012921,-0.16614817
0.03901068,-0.00788447,-0.01796557,0.00018967,-0.03208577,0.02701196,-0.10700369,1.47142975,-1.58723009,0.04693701,1.44113228,-1.67172031,-0.14468701,0.64532597,-2.52034683,0.62370996,0.66621678,-2.38016624,0.79198926,-0.07523095,-0.01574904,0.14815775,0.20525670,0.13192438,-0.13333143,0.16080833,-0.18524692,-0.12820485,-0.01782645,0.19835461,-0.13456126,-0.01746190,-0.16382748,-0.14020954,0.00172548,0.00050149,0.01068797,-0.42199201,0.09067181,0.90199065,0.16947049,0.17769057,0.01482632,0.20217414,-0.14090598,0.01995289,-0.06302655,0.18883499,0.01359648,0.02395513,-0.16274741,0.00794820,0.11842381,0.13504886,0.02327156,0.14237638,0.03615760,0.15108346,0.07283127,0.27539349,-0.26820659,0.21896480,0.17223715,0.03964520
-0.00084195,0.00711345,0.00740588,-0.02359417,-0.00868339,-0.07879895,-0.10751051,1.47138655,-1.58629787,0.04571113,1.44327414,-1.67277336,-0.14491223,0.64782101,-2.52033138,0.62495565,0.66684675,-2.38119817,0.79198926,-0.07523095,-0.01574904,0.14828975,0.20493659,0.13147858,-0.13339106,0.16057436,-0.18550341,-0.12821672,-0.01803286,0.19830371,-0.13452791,-0.01758118,-0.16394411,-0.14044228,0.00172232,0.00059957,0.01022246,-0.42208663,0.09018174,0.90200091,0.16939469,0.17715438,0.01489870,0.20189954,-0.14126204,0.02007303,-0.06307773,0.18888261,0.01376185,0.02374233,-0.16280755,0.00784747,-0.05922004,-0.03014803,0.05621194,-0.11210337,0.12802362,-0.09711742,-0.03447443,0.09398102,0.05144119,0.02821326,0.00789642,-0.07524490
-0.00051229,0.00825622,-0.00226526,-0.00894358,-0.00388947,0.00501131,-0.10958349,1.47057505,-1.58461771,0.04486349,1.44419334,-1.67345572,-0.14564594,0.65000863,-2.52122731,0.62231776,0.66842356,-2.38482280,0.79198926,-0.07523095,-0.01574904,0.14823777,0.20484279,0.13120757,-0.13339305,0.16035179,-0.18604078,-0.12823352,-0.01830409,0.19777307,-0.13472165,-0.01788134,-0.16402432,-0.14056297,0.00171015,0.00076895,0.01014013,-0.42212145,0.09023583,0.90198013,0.16930785,0.17708402,0.01484472,0.20183831,-0.14161291,0.02000425,-0.06327807,0.18845421,0.01351612,0.02350250,-0.16278169,0.00767480,-0.09823725,-0.04016447,0.08237886,-0.04379234,0.04271650,-0.03148126,-0.02746188,0.10620761,-0.05176735,-0.12597083,0.07782196,-0.17102908
0.01113785,-0.00113003,-0.00415555,-0.00208871,0.01288575,0.05513290,-0.10916162,1.47017097,-1.58404064,0.04382829,1.44372499,-1.67303181,-0.14306055,0.65040922,-2.52414823,0.62253386,0.66913533,-2.38383842,0.79198926,-0.07523095,-0.01574904,0.14834997,0.20495505,0.13097032,-0.13354730,0.16041866,-0.18595840,-0.12840107,-0.01824487,0.19792603,-0.13488571,-0.01824663,-0.16367872,-0.14057939,0.00192985,0.00079624,0.01039482,-0.42198886,0.09078716,0.90198395,0.16948746,0.17710350,0.01480267,0.20226927,-0.14125582,0.01994890,-0.06325669,0.18856819,0.01346427,0.02347564,-0.16248095,0.00777059,0.01898441,-0.01818323,0.02596807,-0.04658380,-0.02107573,0.01907587,0.11634242,0.01802659,-0.13144111,0.00972462,0.03202986,0.04429721
0.00922994,0.00268324,0.00744921,-0.01673969,-0.00584816,-0.02913481,-0.10916162,1.47017097,-1.58404064,0.04382829,1.44372499,-1.67303181,-0.14306055,0.65040922,-2.52414823,0.62253386,0.66913533,-2.38383842,0.79198926,-0.07523095,-0.01574904,0.14857273,0.20500475,0.13085212,-0.13358687,0.16035055,-0.18605836,-0.12834128,-0.01817029,0.19789031,-0.13494810,-0.01830635,-0.16371613,-0.14052800,0.00193944,0.00084506,0.01015597,-0.42201498,0.09064179,0.90198907,0.16959015,0.17703376,0.01498586,0.20222339,-0.14133916,0.02023146,-0.06314853,0.18860632,0.01362464,0.02342091,-0.16248479,0.00804473,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00821336,0.00889639,0.00522203,-0.01583266,-0.00378271,-0.00677838,-0.10981022,1.46965733,-1.58153706,0.04374326,1.44469278,-1.67250624,-0.14567295,0.65604868,-2.52293134,0.62293864,0.66997008,-2.38439326,0.79198926,-0.07523095,-0.01574904,0.14877073,0.20474990,0.13070436,-0.13380469,0.16005766,-0.18633837,-0.12862532,-0.01824960,0.19785186,-0.13505046,-0.01845178,-0.16412562,-0.14108903,0.00192186,0.00102737,0.00993680,-0.42204831,0.09058411,0.90198171,0.16933741,0.17703358,0.01496603,0.20200738,-0.14147256,0.02014541,-0.06325860,0.18872370,0.01372027,0.02338190,-0.16273207,0.00768170,-0.03891599,-0.03081894,0.15021514,-0.00510174,0.05806732,0.03153419,-0.15674399,0.33836744,0.07301330,0.02428722,0.05008507,-0.03329086
