clip,source_frames,frames,input_fps,output_fps,duration_s,joint_layout,height_min,height_mean,height_max,mean_abs_vx,mean_abs_wz,command_mode,command_vx,command_vy,command_wz,license,tags,csv
ai4_dog_canter,567,473,60.000000,50.000000,9.440000,joint_type,0.145208,0.213553,0.368272,0.862618,0.187864,mean,0.858927,-0.092216,-0.028269,CC BY-NC 4.0,canter,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_canter.csv
ai4_dog_left_turn,4336,3613,60.000000,50.000000,72.240000,joint_type,0.147444,0.320707,0.339618,0.352319,0.731029,mean,0.322095,-0.045959,-0.045468,CC BY-NC 4.0,"turn,left",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_left_turn.csv
ai4_dog_pace,593,494,60.000000,50.000000,9.860000,joint_type,0.147415,0.303843,0.337447,0.792857,0.339325,mean,0.791989,-0.075231,-0.015749,CC BY-NC 4.0,pace,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_pace.csv
ai4_dog_right_turn,4336,3613,60.000000,50.000000,72.240000,joint_type,0.147444,0.320707,0.339618,0.352319,0.731029,mean,0.322095,-0.045959,-0.045468,CC BY-NC 4.0,"turn,right",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_right_turn.csv
ai4_dog_run_00,567,473,60.000000,50.000000,9.440000,joint_type,0.145208,0.213553,0.368272,0.862618,0.187864,mean,0.858927,-0.092216,-0.028269,CC BY-NC 4.0,run,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_run_00.csv
ai4_dog_run_02,203,169,60.000000,50.000000,3.360000,joint_type,0.292211,0.334949,0.363829,2.427619,0.419152,mean,2.427619,-0.189706,-0.028903,CC BY-NC 4.0,run,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_run_02.csv
ai4_dog_run_04,1263,1053,60.000000,50.000000,21.040000,joint_type,0.145903,0.188748,0.339037,0.329715,0.142439,mean,0.301802,-0.028950,0.000262,CC BY-NC 4.0,run,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_run_04.csv
ai4_dog_synth_circle_walk,807,673,60.000000,50.000000,13.440000,joint_type,0.300219,0.319020,0.334735,0.859577,0.447893,mean,0.859180,-0.307449,-0.446365,CC BY-NC 4.0,"walk,circle",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_synth_circle_walk.csv
ai4_dog_synth_eight_walk,1176,980,60.000000,50.000000,19.580000,joint_type,0.312315,0.321913,0.339760,0.491444,1.913656,mean,0.491444,0.062496,0.007002,CC BY-NC 4.0,"walk,figure-eight",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_synth_eight_walk.csv
ai4_dog_synth_ellipse_walk,1179,983,60.000000,50.000000,19.640000,joint_type,0.310943,0.323958,0.331088,0.872144,0.553660,mean,0.872144,0.045862,0.330714,CC BY-NC 4.0,"walk,ellipse",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_synth_ellipse_walk.csv
ai4_dog_synth_half_flip_jump,1179,983,60.000000,50.000000,19.640000,joint_type,0.310943,0.323958,0.331088,0.872144,0.553660,mean,0.872144,0.045862,0.330714,CC BY-NC 4.0,"jump,flip",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_synth_half_flip_jump.csv
ai4_dog_synth_square_walk,1116,930,60.000000,50.000000,18.580000,joint_type,0.307135,0.323477,0.338308,0.915378,0.568923,mean,0.915378,0.061387,0.332625,CC BY-NC 4.0,"walk,square",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_synth_square_walk.csv
ai4_dog_synth_tight_strafe,1040,867,60.000000,50.000000,17.320000,joint_type,0.305852,0.321291,0.336439,0.490202,1.423633,mean,0.490199,-0.027134,-0.024089,CC BY-NC 4.0,"strafe,lateral",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_synth_tight_strafe.csv
ai4_dog_synth_wide_strafe,1169,974,60.000000,50.000000,19.460000,joint_type,0.299314,0.318581,0.338344,0.928261,0.414780,mean,0.928255,-0.012035,-0.018791,CC BY-NC 4.0,"strafe,lateral",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_synth_wide_strafe.csv
ai4_dog_trot_00,548,457,60.000000,50.000000,9.120000,joint_type,0.286700,0.322091,0.341058,0.837754,0.260970,mean,0.836158,0.010744,-0.008476,CC BY-NC 4.0,trot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_trot_00.csv
ai4_dog_trot_01,1263,1053,60.000000,50.000000,21.040000,joint_type,0.145903,0.188748,0.339037,0.329715,0.142439,mean,0.301802,-0.028950,0.000262,CC BY-NC 4.0,trot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_trot_01.csv
ai4_dog_walk_00,593,494,60.000000,50.000000,9.860000,joint_type,0.147415,0.303843,0.337447,0.792857,0.339325,mean,0.791989,-0.075231,-0.015749,CC BY-NC 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_walk_00.csv
ai4_dog_walk_01,1072,894,60.000000,50.000000,17.860000,joint_type,0.139184,0.280758,0.336619,0.565939,0.479439,mean,0.562190,-0.015428,0.039058,CC BY-NC 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_walk_01.csv
ai4_dog_walk_02,911,759,60.000000,50.000000,15.160000,joint_type,0.151012,0.264201,0.341760,0.559898,0.505907,mean,0.539694,-0.026474,0.053559,CC BY-NC 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_walk_02.csv
ai4_dog_walk_03,548,457,60.000000,50.000000,9.120000,joint_type,0.286700,0.322091,0.341058,0.837754,0.260970,mean,0.836158,0.010744,-0.008476,CC BY-NC 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_walk_03.csv
ai4_dog_walk_04,548,457,60.000000,50.000000,9.120000,joint_type,0.143673,0.252838,0.343266,0.935284,0.232510,mean,0.932009,-0.064472,0.031034,CC BY-NC 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_walk_04.csv
ai4_dog_walk_06,1348,1123,60.000000,50.000000,22.440000,joint_type,0.096452,0.153886,0.352001,0.282608,0.101852,mean,0.265016,-0.011733,0.006335,CC BY-NC 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/ai4_dog_walk_06.csv
solo8_crawl_fast,120,100,60.000000,50.000000,1.980000,joint_type,0.183831,0.215195,0.419671,0.000000,0.000000,mean,0.000000,0.000000,0.000000,BSD-3-Clause,"crawl,fast",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/solo8_crawl_fast.csv
solo8_crawl_slow,120,100,60.000000,50.000000,1.980000,joint_type,0.114616,0.154377,0.435078,0.000000,0.000000,mean,0.000000,0.000000,0.000000,BSD-3-Clause,"crawl,slow",/home/oepr/cyc_apex/APEX/imitation_data/kine2go/solo8_crawl_slow.csv
solo8_jump_forward_a,120,100,60.000000,50.000000,1.980000,joint_type,0.150957,0.269008,0.420843,0.000000,0.000000,mean,0.000000,0.000000,0.000000,BSD-3-Clause,jump,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/solo8_jump_forward_a.csv
solo8_jump_forward_b,120,100,60.000000,50.000000,1.980000,joint_type,0.130635,0.244868,0.411172,0.000000,0.000000,mean,0.000000,0.000000,0.000000,BSD-3-Clause,jump,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/solo8_jump_forward_b.csv
solo8_scoot_forward,120,100,60.000000,50.000000,1.980000,joint_type,0.168369,0.252887,0.410515,0.000000,0.000000,mean,0.000000,0.000000,0.000000,BSD-3-Clause,scoot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/solo8_scoot_forward.csv
solo8_walk,120,100,60.000000,50.000000,1.980000,joint_type,0.286971,0.313997,0.397057,0.000000,0.000000,mean,0.000000,0.000000,0.000000,BSD-3-Clause,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/solo8_walk.csv
vhdc_horse1_s1_trot_01,600,500,60.000000,50.000000,9.980000,joint_type,0.275506,0.343642,0.402433,0.658835,0.196102,mean,0.658835,0.017164,-0.005157,CC BY-SA 4.0,trot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s1_trot_01.csv
vhdc_horse1_s1_trot_02,600,500,60.000000,50.000000,9.980000,joint_type,0.273079,0.335308,0.394209,0.658898,0.195227,mean,0.658898,0.012374,0.003014,CC BY-SA 4.0,trot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s1_trot_02.csv
vhdc_horse1_s1_trot_03,600,500,60.000000,50.000000,9.980000,joint_type,0.276643,0.335509,0.394404,0.653796,0.189766,mean,0.653796,0.004668,-0.004654,CC BY-SA 4.0,trot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s1_trot_03.csv
vhdc_horse1_s1_walk_01,600,500,60.000000,50.000000,9.980000,joint_type,0.272518,0.293549,0.312776,0.348705,0.150175,mean,0.348705,0.011109,0.001662,CC BY-SA 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s1_walk_01.csv
vhdc_horse1_s1_walk_02,600,500,60.000000,50.000000,9.980000,joint_type,0.271272,0.290865,0.310700,0.342637,0.151546,mean,0.342637,0.008958,0.001991,CC BY-SA 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s1_walk_02.csv
vhdc_horse1_s1_walk_03,600,500,60.000000,50.000000,9.980000,joint_type,0.273247,0.294993,0.314157,0.345276,0.153508,mean,0.345276,0.013384,0.000769,CC BY-SA 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s1_walk_03.csv
vhdc_horse1_s2_trot_01,1200,1000,60.000000,50.000000,19.980000,joint_type,0.276000,0.310899,0.340606,0.651320,0.181735,mean,0.651320,0.014204,0.001586,CC BY-SA 4.0,trot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s2_trot_01.csv
vhdc_horse1_s2_trot_02,1200,1000,60.000000,50.000000,19.980000,joint_type,0.277289,0.313073,0.346566,0.648966,0.184728,mean,0.648966,0.014786,-0.000543,CC BY-SA 4.0,trot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s2_trot_02.csv
vhdc_horse1_s2_trot_03,1200,1000,60.000000,50.000000,19.980000,joint_type,0.277914,0.311956,0.346673,0.654966,0.186273,mean,0.654966,0.029291,0.004546,CC BY-SA 4.0,trot,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s2_trot_03.csv
vhdc_horse1_s2_walk_01,1200,1000,60.000000,50.000000,19.980000,joint_type,0.277767,0.292718,0.308001,0.392926,0.110821,mean,0.392926,0.020362,0.001042,CC BY-SA 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s2_walk_01.csv
vhdc_horse1_s2_walk_02,1200,1000,60.000000,50.000000,19.980000,joint_type,0.278337,0.293322,0.308702,0.385804,0.115589,mean,0.385804,0.019859,0.001862,CC BY-SA 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s2_walk_02.csv
vhdc_horse1_s2_walk_03,1200,1000,60.000000,50.000000,19.980000,joint_type,0.275982,0.292523,0.307402,0.380180,0.116916,mean,0.380180,0.020475,0.012757,CC BY-SA 4.0,walk,/home/oepr/cyc_apex/APEX/imitation_data/kine2go/vhdc_horse1_s2_walk_03.csv
