vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29969534,0.97662055,-1.93167233,0.28514099,1.08932400,-1.95565188,-0.32847145,0.89500922,-2.02394986,0.29490319,0.99869674,-2.00431061,0.00000000,0.00000000,0.00000000,0.41967118,0.16380089,0.20307168,-0.20434318,0.18767715,-0.21089940,-0.20447597,-0.19554614,0.20299710,-0.19040513,-0.16977718,-0.21071512,-0.17724243,0.00000000,0.00000000,-0.00389597,0.00772931,-0.01771001,0.99980570,0.17090225,0.19713259,0.21532799,0.18007681,-0.21742496,0.21519521,-0.18822120,0.20980680,0.22926605,-0.17714596,-0.20455919,0.24242875,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.37289672,0.90361451,-2.14098010,0.31096880,1.17456236,-2.03795614,-0.40210135,1.01704581,-2.20917602,0.27729883,1.03128355,-1.93304632,0.00000000,0.00000000,0.00000000,0.40482559,0.15409800,0.20346343,-0.18644214,0.22342355,-0.21001741,-0.15694404,-0.21432177,0.20283609,-0.20232453,-0.18003005,-0.20999682,-0.13190944,-0.00534060,-0.00144149,-0.00363619,0.01291952,-0.02486183,0.99960080,0.15870145,0.19409308,0.21838345,0.20734373,-0.22232783,0.24788155,-0.20929219,0.21181904,0.20250106,-0.19560796,-0.20220956,0.27291616,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.37317609,0.99512779,-2.13399978,0.32014944,1.21668735,-2.08056545,-0.43767781,1.06482379,-2.26016049,0.26785067,1.04340312,-1.91757410,0.00000000,0.00000000,0.00000000,0.38350812,0.14999308,0.20182863,-0.17860589,0.20274842,-0.21177756,-0.15962233,-0.22068521,0.20054838,-0.20546907,-0.18528057,-0.21133784,-0.11543540,-0.00988240,-0.00136319,-0.00562233,0.01592489,-0.02692793,0.99949471,0.15079728,0.19206576,0.20490223,0.18112651,-0.22378679,0.22388579,-0.21940866,0.21081683,0.17803905,-0.20631183,-0.20238073,0.26807272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.34720322,1.11478789,-2.05411186,0.30052871,1.21985192,-2.02259276,-0.42213364,1.02872834,-2.22235680,0.25137339,1.00544350,-1.86092227,0.00000000,0.00000000,0.00000000,0.35611454,0.13954901,0.20038031,-0.19118092,0.16737041,-0.21333403,-0.17665951,-0.22057832,0.19879305,-0.21702667,-0.18243355,-0.21260374,-0.12291590,-0.01442130,-0.00116423,-0.00682484,0.01861284,-0.02826286,0.99940392,0.13628106,0.19096852,0.16493362,0.14056496,-0.22365810,0.17945503,-0.22335533,0.20983351,0.13908787,-0.20863310,-0.20306551,0.23319865,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.33685136,1.17383335,-1.99218206,0.27418685,1.17633562,-1.94808891,-0.39422161,0.96338668,-2.15089970,0.23397863,0.93500316,-1.80138314,0.00000000,0.00000000,0.00000000,0.32212501,0.13642681,0.19820802,-0.20959538,0.14452102,-0.21524072,-0.18597783,-0.21251780,0.19634970,-0.22971248,-0.17682101,-0.21460384,-0.13772590,-0.01981692,-0.00082163,-0.00845855,0.02179429,-0.02944035,0.99929311,0.12811646,0.18895300,0.11252963,0.11169433,-0.22424876,0.13614717,-0.22032498,0.20777736,0.09241253,-0.20904516,-0.20456939,0.18439910,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.33110878,1.14978957,-1.94704056,0.25692314,1.10648799,-1.91823971,-0.38843921,0.90150744,-2.11081314,0.21671474,0.84673548,-1.74266124,0.00000000,0.00000000,0.00000000,0.28113195,0.14684875,0.19547597,-0.22173703,0.14209263,-0.21784993,-0.19420400,-0.19870120,0.19298314,-0.24234073,-0.16837661,-0.21699585,-0.14286968,-0.02629559,-0.00042316,-0.01072431,0.02472100,-0.03110425,0.99915283,0.13253185,0.18545113,0.05939493,0.10184452,-0.22676145,0.08692795,-0.21249335,0.20465013,0.03879122,-0.20795906,-0.20642382,0.13826227,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.32610071,1.10389667,-1.92947717,0.27145481,1.09890740,-1.98316016,-0.38221871,0.84770494,-2.07470245,0.25072421,0.89586662,-1.92430310,0.00000000,0.00000000,0.00000000,0.23467351,0.15404641,0.19563394,-0.21360596,0.14603273,-0.21846451,-0.20259959,-0.19192513,0.19405705,-0.20342030,-0.16345127,-0.21767506,-0.14555299,-0.03203023,-0.00168458,-0.01068161,0.03526711,-0.03136003,0.99882866,0.13413826,0.18376344,0.02106756,0.09982277,-0.22898853,0.03207392,-0.21123407,0.20417794,0.03125322,-0.20898539,-0.20853145,0.08912053,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.35324960,1.18532610,-2.05258336,0.32736008,1.19476559,-2.12583480,-0.33121847,0.82426124,-1.96797352,0.29532648,0.95172926,-2.05221076,0.00000000,0.00000000,0.00000000,0.20174890,0.15167151,0.20007808,-0.18040104,0.14400699,-0.21420587,-0.18052685,-0.19191669,0.19873415,-0.17057487,-0.17085648,-0.21555707,-0.17182862,-0.03113361,-0.00665382,-0.00691756,0.04219065,-0.03142326,0.99859135,0.13294922,0.18337857,0.02134786,0.09896606,-0.22958036,0.02122205,-0.21002956,0.20387769,0.03117404,-0.21534655,-0.21091440,0.02992028,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.36854000,1.29086015,-2.11217074,0.35781701,1.27471817,-2.15854459,-0.34319645,0.91031952,-2.06210661,0.32337815,1.02444656,-2.09816680,0.00000000,0.00000000,0.00000000,0.18681132,0.14078568,0.20370242,-0.16548921,0.13105341,-0.21030133,-0.16574101,-0.20215701,0.20301708,-0.15581093,-0.18087818,-0.21096335,-0.15581212,-0.01970419,-0.01160667,-0.00281302,0.04277996,-0.03121382,0.99859284,0.13359790,0.18285092,0.02132210,0.09788160,-0.22972412,0.02107031,-0.20871071,0.20370689,0.03100039,-0.21347568,-0.21079267,0.03099919,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.38160001,1.36968658,-2.13792701,0.36315255,1.35658872,-2.13089004,-0.34040329,1.01392975,-2.08224115,0.34793968,1.21930287,-2.12850614,0.00000000,0.00000000,0.00000000,0.18383136,0.12042062,0.20521914,-0.16264581,0.11957695,-0.20864825,-0.15615654,-0.23813553,0.20493489,-0.13950947,-0.20164710,-0.20906898,-0.15285690,0.00277800,-0.01476306,-0.00086918,0.04369807,-0.03106626,0.99856127,0.13576106,0.18254767,0.02118555,0.10911162,-0.23046170,0.02767482,-0.22211504,0.20462236,0.04432188,-0.21151354,-0.21085113,0.03097446,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
