vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.27072838,0.97439444,-1.95777488,0.29338133,0.99182945,-1.84231246,-0.25863436,0.88202196,-1.91276622,0.32779574,0.83580816,-1.96497738,0.00000000,0.00000000,0.00000000,0.43507814,0.16966055,0.21599597,-0.21914983,0.18911781,-0.19854061,-0.21184640,-0.16357214,0.21547372,-0.18285906,-0.18061035,-0.19776192,-0.21123438,0.00000000,0.00000000,0.00860089,0.01279774,0.00269109,0.99987749,0.16844755,0.21694328,0.21592832,0.19022736,-0.19747778,0.22323175,-0.16477698,0.21455376,0.25221908,-0.17949936,-0.19877087,0.22384377,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.27475635,1.17830949,-1.95390289,0.29747832,1.15699008,-1.79797702,-0.25656344,0.90562797,-1.91891696,0.30718232,0.74046159,-1.85710859,0.00000000,0.00000000,0.00000000,0.42957981,0.11777227,0.21689660,-0.21693210,0.13821484,-0.19783016,-0.20747690,-0.15317791,0.21730376,-0.20042439,-0.18805967,-0.19672610,-0.20890919,0.00029610,0.00106394,0.00950413,0.01844646,0.00416356,0.99977601,0.11618089,0.21897484,0.21264772,0.14022325,-0.19555882,0.22210291,-0.15476261,0.21702966,0.22915542,-0.18604854,-0.19728744,0.22067062,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.28346123,1.31832309,-1.92701581,0.30038813,1.26970532,-1.73615570,-0.25604037,0.96313801,-1.91780612,0.30050292,0.74483132,-1.83121471,0.00000000,0.00000000,0.00000000,0.41778350,0.07598570,0.21664283,-0.21325568,0.09978623,-0.19821174,-0.20047662,-0.15889952,0.21746233,-0.20479997,-0.20421152,-0.19678120,-0.20698301,0.00008652,0.00219572,0.00933246,0.02311434,0.00550357,0.99967412,0.07358730,0.21969418,0.20452783,0.10213516,-0.19486076,0.21730689,-0.16129192,0.21782485,0.21298354,-0.20185904,-0.19691023,0.21080049,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.28454434,1.36883788,-1.88820324,0.29849864,1.28950524,-1.70717425,-0.25448263,1.02327056,-1.90392308,0.30044931,0.81262655,-1.84975107,0.00000000,0.00000000,0.00000000,0.40074770,0.06408082,0.21628163,-0.21424722,0.08010951,-0.19853721,-0.19971075,-0.17542042,0.21696421,-0.20223064,-0.22212882,-0.19703243,-0.20672100,-0.00093863,0.00331023,0.00889599,0.02616072,0.00696208,0.99959392,0.06002031,0.22049241,0.18650049,0.08202222,-0.19405252,0.20103695,-0.17946591,0.21772525,0.19851706,-0.22020644,-0.19690121,0.19402671,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.27644829,1.35075002,-1.84299641,0.29307802,1.24460955,-1.72755938,-0.25081021,1.04426975,-1.87298784,0.30181720,0.87683516,-1.87121651,0.00000000,0.00000000,0.00000000,0.37761887,0.07814067,0.21577684,-0.21945867,0.07450497,-0.19889142,-0.20722228,-0.19016664,0.21623436,-0.19833533,-0.23292775,-0.19756452,-0.20983829,-0.00292571,0.00445290,0.00819568,0.02861813,0.00859432,0.99951987,0.07138819,0.22157742,0.15816020,0.07508368,-0.19309031,0.17039660,-0.19688528,0.21729164,0.17928355,-0.23232445,-0.19719851,0.16778058,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.26270586,1.28087080,-1.79000533,0.28585142,1.17888737,-1.75800896,-0.24762788,1.00958467,-1.83963442,0.29690307,0.87307876,-1.86795771,0.00000000,0.00000000,0.00000000,0.34736359,0.09913788,0.21445278,-0.22582151,0.07933526,-0.19979538,-0.22187236,-0.19086951,0.21479721,-0.19923660,-0.23047382,-0.19889003,-0.21463904,-0.00605027,0.00553702,0.00674863,0.03148029,0.00989326,0.99943262,0.08872674,0.22195244,0.12154208,0.07731262,-0.19261167,0.12549123,-0.20122820,0.21642701,0.14812699,-0.23245132,-0.19797708,0.13272455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.25146653,1.16426141,-1.75166726,0.26760383,1.12869897,-1.69977689,-0.24288625,0.91044947,-1.78176847,0.28335722,0.78691565,-1.82769296,0.00000000,0.00000000,0.00000000,0.30875019,0.09943196,0.21221664,-0.24085272,0.09952795,-0.20183245,-0.23880940,-0.17523942,0.21236910,-0.20724593,-0.21463950,-0.20130114,-0.22436178,-0.01005762,0.00635527,0.00439822,0.03487331,0.00996798,0.99933235,0.08505043,0.22054462,0.06789747,0.09354274,-0.19341739,0.06994079,-0.18956756,0.21512709,0.10150425,-0.22057088,-0.19925706,0.08438841,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.25688589,1.10452626,-1.77778268,0.26079595,1.14694266,-1.67436600,-0.24578196,0.83498579,-1.75775876,0.27130137,0.68154129,-1.78040793,0.00000000,0.00000000,0.00000000,0.26653213,0.08892506,0.20980483,-0.24388151,0.11863138,-0.20418168,-0.23979242,-0.15418828,0.20990324,-0.21509927,-0.19886663,-0.20386430,-0.22700974,-0.01394370,0.00749813,0.00215885,0.03701851,0.00966435,0.99926552,0.07086738,0.21899947,0.02265061,0.10865228,-0.19432800,0.02673970,-0.17220153,0.21435039,0.05143286,-0.20879138,-0.20021072,0.03952239,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.28777234,1.18962202,-1.89661219,0.28881960,1.26370137,-1.82919383,-0.27325801,0.88528458,-1.87446847,0.28104426,0.67018707,-1.83813858,0.00000000,0.00000000,0.00000000,0.23468444,0.08947639,0.20789078,-0.21350195,0.11904039,-0.20601268,-0.21365056,-0.14492549,0.20800745,-0.20374833,-0.19550448,-0.20588852,-0.20349024,-0.01558183,0.00951595,0.00056607,0.03610220,0.00977299,0.99930015,0.06979762,0.21912261,0.02118249,0.10747849,-0.19412098,0.02103388,-0.16456141,0.21463928,0.03093611,-0.20700824,-0.20016956,0.03119419,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.31557855,1.26717405,-1.97579782,0.31138797,1.35131214,-1.91575279,-0.29957141,0.94386665,-1.96814361,0.30231673,0.72121365,-1.94764233,0.00000000,0.00000000,0.00000000,0.21417587,0.08595419,0.20653986,-0.19300783,0.11531027,-0.20735506,-0.19316473,-0.14701123,0.20648400,-0.18304801,-0.19748769,-0.20741658,-0.18311893,-0.01221391,0.01108443,-0.00080774,0.03575722,0.00976062,0.99931251,0.06969643,0.21926112,0.02116804,0.10711784,-0.19398266,0.02101114,-0.16322362,0.21466246,0.03112786,-0.20561944,-0.20014371,0.03105693,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
