vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.24282502,0.91381872,-1.88206041,0.29847389,0.87057894,-1.81430817,-0.27063486,0.88751209,-1.99893594,0.30348495,0.78502142,-1.81966090,0.00000000,0.00000000,0.00000000,0.42084274,0.20642552,0.22054781,-0.21369402,0.20379348,-0.19376230,-0.22232527,-0.15742491,0.22074721,-0.21600515,-0.16445477,-0.19463743,-0.20277429,0.00000000,0.00000000,0.01294221,-0.00784322,0.00943308,0.99984099,0.20227359,0.22436182,0.20714872,0.20737408,-0.18992526,0.19851747,-0.16151719,0.21777083,0.20483759,-0.16079371,-0.19767267,0.21806845,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21259834,0.97290149,-1.76200836,0.29765880,0.84147394,-1.75595074,-0.20550459,0.73426446,-1.72539628,0.25481895,0.57264255,-1.40977566,0.00000000,0.00000000,0.00000000,0.40362011,0.20582731,0.22501770,-0.22232198,0.17119869,-0.18869142,-0.24800357,-0.14766978,0.22922164,-0.28127256,-0.15507820,-0.18770510,-0.25752614,-0.00642845,0.01396516,0.01645771,-0.00546690,0.01093734,0.99978979,0.19446946,0.24339462,0.18129813,0.16882297,-0.17096830,0.15561655,-0.15903565,0.23992969,0.12234755,-0.15739855,-0.17705966,0.14609397,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21904306,0.96110179,-1.85687797,0.29316456,0.79679549,-1.66697292,-0.18673624,0.74563318,-1.67251256,0.24778185,0.55356601,-1.23780696,0.00000000,0.00000000,0.00000000,0.37800806,0.20766941,0.23042053,-0.23395659,0.18872094,-0.18574079,-0.23287684,-0.16605823,0.23641267,-0.30542053,-0.16325941,-0.18237153,-0.27190210,-0.01402895,0.02733409,0.02032608,-0.00773111,0.01043082,0.99970910,0.18886290,0.26197232,0.14405147,0.17846800,-0.15449045,0.14513122,-0.18490897,0.26028538,0.07258753,-0.17350728,-0.15835294,0.10610595,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21396416,0.94858639,-1.84763579,0.29164456,0.76316699,-1.63535347,-0.18223270,0.74432985,-1.66118333,0.25005521,0.58539246,-1.23545928,0.00000000,0.00000000,0.00000000,0.34467033,0.21383862,0.23216124,-0.23741001,0.19148400,-0.18426396,-0.23502523,-0.17637816,0.23807461,-0.30609714,-0.16342076,-0.18078831,-0.27534567,-0.02248252,0.04105380,0.02153691,-0.00926145,0.01248974,0.99964713,0.18558587,0.27840026,0.10726031,0.17347215,-0.13844855,0.10964509,-0.20465837,0.27472180,0.03857318,-0.18141082,-0.14369617,0.06932465,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21171928,0.96867228,-1.85096359,0.29797592,0.78259641,-1.65457354,-0.18045685,0.75553135,-1.68317335,0.27087338,0.60428818,-1.39842200,0.00000000,0.00000000,0.00000000,0.30448924,0.20221336,0.23307944,-0.24057550,0.17822218,-0.18323630,-0.24163777,-0.16727219,0.23778532,-0.27386574,-0.17351709,-0.17942184,-0.26632025,-0.02911915,0.05363841,0.02204634,0.00910175,0.02425838,0.99942116,0.16145540,0.29632670,0.06391373,0.15784958,-0.12066415,0.06285146,-0.20781828,0.28296016,0.03062350,-0.19365546,-0.13405331,0.03816899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22549497,0.99972391,-1.94568157,0.31925148,0.87923700,-1.74534428,-0.19113968,0.75141275,-1.80983222,0.30377722,0.58585513,-1.55608857,0.00000000,0.00000000,0.00000000,0.26010406,0.16775259,0.23384006,-0.23785272,0.16290086,-0.18282809,-0.23955016,-0.16016191,0.23866703,-0.22910044,-0.17793651,-0.17812874,-0.22869140,-0.03239962,0.06286514,0.02190007,0.05295382,0.03567777,0.99771909,0.11761010,0.30846479,0.02225134,0.14356916,-0.10742223,0.02055390,-0.20976421,0.28904116,0.03100362,-0.19668324,-0.12792831,0.03141266,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29178164,1.10132475,-2.15599809,0.37022033,1.01680958,-1.96996579,-0.21238268,0.83638328,-1.92887740,0.33002233,0.61484870,-1.69632092,0.00000000,0.00000000,0.00000000,0.22427955,0.15438733,0.22865279,-0.20327016,0.15713308,-0.18790255,-0.20332292,-0.16284211,0.23573957,-0.19325063,-0.19745787,-0.18053012,-0.19328488,-0.02965993,0.06779711,0.01941782,0.08481857,0.03640019,0.99554196,0.10669761,0.30763907,0.02100939,0.14144968,-0.10747319,0.02095663,-0.21013820,0.29032416,0.03102891,-0.21265910,-0.12737471,0.03099467,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.35821010,1.20500412,-2.28532262,0.41891938,1.14266579,-2.11683097,-0.24080441,0.88825668,-2.03734193,0.35505381,0.67332836,-1.82687249,0.00000000,0.00000000,0.00000000,0.19496237,0.14409825,0.22449542,-0.17412235,0.15083064,-0.19178920,-0.17383254,-0.16763196,0.23236591,-0.16377083,-0.20104242,-0.18358604,-0.16338578,-0.02464063,0.07221980,0.01736030,0.10137983,0.03640040,0.99403006,0.10163630,0.30720200,0.02084002,0.14059203,-0.10731055,0.02112983,-0.20976703,0.29090360,0.03119154,-0.21085931,-0.12638657,0.03157659,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.39831953,1.29464483,-2.33859458,0.44846810,1.23124099,-2.18224025,-0.25752704,0.95052803,-2.09358335,0.36949708,0.73452672,-1.90338197,0.00000000,0.00000000,0.00000000,0.17844422,0.13553385,0.22224385,-0.15746502,0.14238759,-0.19362871,-0.15722063,-0.17554680,0.23036926,-0.14714517,-0.20913362,-0.18526402,-0.14731283,-0.01586706,0.07502322,0.01627427,0.10805194,0.03648390,0.99334226,0.10196723,0.30713706,0.02097920,0.14115184,-0.10694207,0.02122359,-0.20880281,0.29103819,0.03129905,-0.20995482,-0.12594834,0.03113139,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.39871639,1.37568521,-2.32298694,0.44700959,1.29851360,-2.16720309,-0.25391868,1.01783938,-2.08316817,0.36548942,0.79999038,-1.90813999,0.00000000,0.00000000,0.00000000,0.17647299,0.11951398,0.22210802,-0.15548640,0.12624594,-0.19389091,-0.15512049,-0.19229972,0.23038614,-0.14512728,-0.22595545,-0.18523436,-0.14558220,0.00162218,0.07656322,0.01597536,0.11146680,0.03656710,0.99296666,0.10342491,0.30732667,0.02098658,0.14262505,-0.10687592,0.02135250,-0.20808292,0.29122743,0.03134570,-0.20917666,-0.12575208,0.03089078,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.35888368,1.42430055,-2.23185539,0.41215706,1.33481359,-2.07433248,-0.23666398,1.07987487,-2.00345683,0.34319752,0.86706144,-1.85067189,0.00000000,0.00000000,0.00000000,0.18855189,0.09644298,0.22282671,-0.16721947,0.10338230,-0.19310553,-0.16705139,-0.21693836,0.23061991,-0.15718690,-0.25068733,-0.18491058,-0.15779142,0.02740026,0.07795517,0.01553267,0.10779218,0.03652049,0.99338101,0.10624050,0.30760100,0.02133241,0.14547233,-0.10653502,0.02150050,-0.20679913,0.29102426,0.03136499,-0.20816383,-0.12587227,0.03076047,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
