vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.23852900,0.92445165,-1.87628579,0.26596949,0.96444649,-1.56422257,-0.24198219,0.75339985,-1.87791431,0.28747219,0.65538841,-1.69658351,0.00000000,0.00000000,0.00000000,0.41117182,0.14260116,0.22401591,-0.25325890,0.20040485,-0.19249432,-0.22453463,-0.13573131,0.22306227,-0.23404911,-0.14345920,-0.19230375,-0.22496629,0.00000000,0.00000000,0.01413910,-0.00766056,0.01451690,0.99976530,0.13608718,0.22803179,0.15791292,0.20586815,-0.18663994,0.18663719,-0.14210226,0.21905870,0.17712271,-0.13785861,-0.19635753,0.18620554,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.23603923,0.93359469,-1.90234342,0.28968042,0.73065228,-1.68650553,-0.21516605,0.80193001,-1.80484197,0.28359808,0.64742321,-1.61816082,0.00000000,0.00000000,0.00000000,0.38784140,0.22574983,0.22645458,-0.23391833,0.19836516,-0.18958624,-0.22411160,-0.14527816,0.22785602,-0.24459878,-0.16616747,-0.18768208,-0.24329488,0.01045597,0.00710221,0.01713933,-0.00118394,0.02091904,0.99963355,0.22654685,0.24279139,0.15392306,0.21656926,-0.17403031,0.16372980,-0.14421569,0.22868919,0.14324262,-0.14772460,-0.18735884,0.14454651,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.24018654,0.89760233,-1.94479861,0.30966555,0.64412553,-1.73312151,-0.21003906,0.75269240,-1.80264943,0.28389888,0.55177687,-1.54519987,0.00000000,0.00000000,0.00000000,0.35487223,0.25299576,0.22807234,-0.21986409,0.21008964,-0.18789639,-0.21835465,-0.12794239,0.23137333,-0.24930967,-0.15559266,-0.18505994,-0.24198436,0.01993589,0.01322503,0.01933499,0.00328014,0.02265261,0.99955103,0.26231332,0.25255123,0.13500815,0.23834162,-0.16493683,0.13651758,-0.11838173,0.23854948,0.10556256,-0.12709222,-0.17870983,0.11288787,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22910306,0.89826570,-1.91923666,0.31287612,0.64022599,-1.71992018,-0.20391120,0.60890697,-1.75739233,0.28850924,0.44402546,-1.48932130,0.00000000,0.00000000,0.00000000,0.31431866,0.25183784,0.23041097,-0.22145980,0.20613340,-0.18546407,-0.22595461,-0.10296861,0.23399272,-0.24872009,-0.12316739,-0.18270364,-0.24371545,0.02975430,0.01903208,0.02123133,0.00527266,0.02287530,0.99949895,0.27073786,0.26077251,0.09285886,0.24419268,-0.15676348,0.08836406,-0.08385836,0.24804581,0.06559857,-0.08488708,-0.16913854,0.07060322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22007660,0.94316454,-1.89888287,0.31357881,0.66671749,-1.71058304,-0.21279509,0.55354425,-1.79615638,0.30667325,0.41539277,-1.54703162,0.00000000,0.00000000,0.00000000,0.26669977,0.24251354,0.23233959,-0.22485229,0.19156333,-0.18354670,-0.23254561,-0.09006602,0.23449364,-0.23151375,-0.10722673,-0.18215627,-0.23101627,0.04042171,0.02507612,0.02261527,0.00788299,0.02433144,0.99941702,0.27126020,0.26901893,0.04184749,0.24074807,-0.14886423,0.03415416,-0.06102547,0.25487522,0.03518602,-0.05775125,-0.16211509,0.03568350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.26515824,1.07823384,-2.06780934,0.34440127,0.78992093,-1.87894714,-0.25776714,0.62094897,-1.98289490,0.34735668,0.49706900,-1.76336479,0.00000000,0.00000000,0.00000000,0.22124353,0.22381441,0.22902429,-0.20003889,0.17666861,-0.18735083,-0.19997307,-0.09866941,0.23053539,-0.19017125,-0.11586777,-0.18587480,-0.19022078,0.05369185,0.03083258,0.02161100,0.01851709,0.02436179,0.99929805,0.26588997,0.27065954,0.02120464,0.23942164,-0.14753945,0.02127046,-0.05627301,0.25619883,0.03107228,-0.05282891,-0.16055214,0.03102275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.31220276,1.22895889,-2.17591796,0.38137957,0.93118837,-2.02974944,-0.30073373,0.72446705,-2.11975603,0.38083345,0.60082462,-1.92150474,0.00000000,0.00000000,0.00000000,0.19326622,0.20519954,0.22543614,-0.17190291,0.15857144,-0.19066479,-0.17195232,-0.11440513,0.22716290,-0.16233497,-0.13177852,-0.18902186,-0.16203959,0.07170048,0.03528144,0.02040254,0.02191709,0.02443666,0.99925283,0.26542416,0.27065229,0.02136330,0.23956602,-0.14725382,0.02131390,-0.05387027,0.25646803,0.03093125,-0.05050579,-0.16006561,0.03122663,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.34984187,1.37361059,-2.22097859,0.40971288,1.06782553,-2.12059550,-0.33589643,0.84145879,-2.21358395,0.40695122,0.71242092,-2.03723254,0.00000000,0.00000000,0.00000000,0.17419841,0.18509792,0.22270941,-0.15291131,0.13730848,-0.19310057,-0.15304247,-0.13272868,0.22444260,-0.14293899,-0.15009866,-0.19144968,-0.14278639,0.09234139,0.03910361,0.01903106,0.02392065,0.02443246,0.99923404,0.26612040,0.27075329,0.02128711,0.23909455,-0.14692048,0.02115594,-0.05139825,0.25665888,0.03125943,-0.04803829,-0.15958241,0.03141202,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.38247582,1.49419792,-2.23231297,0.43232653,1.20024927,-2.17590795,-0.36444860,0.96579001,-2.27584696,0.42684021,0.82966735,-2.12403812,0.00000000,0.00000000,0.00000000,0.16003335,0.16459999,0.22028035,-0.13893744,0.11757560,-0.19523146,-0.13868233,-0.15215189,0.22196741,-0.12870894,-0.16937435,-0.19356796,-0.12892133,0.11408992,0.04261571,0.01731737,0.02568457,0.02443037,0.99922148,0.26752125,0.27081609,0.02109590,0.24123756,-0.14652133,0.02135102,-0.04892196,0.25673450,0.03132440,-0.04543948,-0.15914304,0.03111201,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.40667042,1.59358876,-2.21631165,0.44996749,1.32038615,-2.19966397,-0.38419946,1.09127004,-2.31239338,0.43958366,0.94639823,-2.17868795,0.00000000,0.00000000,0.00000000,0.15028352,0.14419184,0.21862870,-0.12919986,0.09766148,-0.19665823,-0.12883274,-0.17214431,0.22038060,-0.11922549,-0.18914007,-0.19495061,-0.11904845,0.13635710,0.04535784,0.01599505,0.02831626,0.02442233,0.99917261,0.26948510,0.27089438,0.02108366,0.24368863,-0.14619416,0.02145078,-0.04654596,0.25689447,0.03105803,-0.04284226,-0.15876785,0.03123507,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
