vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.27225828,1.04955792,-2.00014210,0.38235405,0.88900614,-2.10096550,-0.28418317,1.01539135,-2.05188060,0.41617906,1.26592684,-2.16701341,0.00000000,0.00000000,0.00000000,0.41051498,0.22775219,0.21697498,-0.15249410,0.18241198,-0.19535252,-0.20028621,-0.22931703,0.21659242,-0.13590226,-0.19069460,-0.19539298,-0.19045798,0.00000000,0.00000000,0.01246823,-0.00095552,0.00267669,0.99991823,0.22659267,0.21818562,0.25802088,0.18345045,-0.19437765,0.21022877,-0.23046802,0.21536729,0.27461272,-0.18965062,-0.19640644,0.22005700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29067608,0.86914783,-2.04723721,0.28908926,0.86722353,-1.75414188,-0.18733928,0.70347040,-1.53048916,0.28355982,0.88288270,-1.68847520,0.00000000,0.00000000,0.00000000,0.39678951,0.19256014,0.22131398,-0.22993191,0.22450685,-0.19548737,-0.18976197,-0.20558863,0.22246753,-0.23503523,-0.17860136,-0.18972330,-0.28564546,-0.01099258,-0.00640099,0.01296720,0.00622184,0.00376567,0.99988947,0.17985941,0.21638770,0.16685760,0.21501140,-0.20015557,0.20702754,-0.21828645,0.21447847,0.16175428,-0.18812922,-0.19749256,0.11114405,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.32842481,0.66592891,-2.08194361,0.25790296,0.91230547,-1.55209243,-0.16346237,0.62687631,-1.25689406,0.23201442,0.47146150,-1.26192887,0.00000000,0.00000000,0.00000000,0.37387053,0.14526365,0.22178077,-0.26470492,0.26845138,-0.19749644,-0.16975302,-0.14543379,0.22434007,-0.29837194,-0.20085868,-0.18897919,-0.32419506,-0.02169325,-0.01191287,0.01189299,0.01228142,0.00499236,0.99984139,0.12128319,0.21134925,0.10916562,0.24877388,-0.20663965,0.20411751,-0.16942520,0.21092053,0.07549860,-0.22059894,-0.20294657,0.04967548,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.30869730,0.53278173,-1.95879002,0.23448012,0.94135280,-1.35839975,-0.17154238,0.57536488,-1.25414126,0.22408373,0.32077623,-1.20168531,0.00000000,0.00000000,0.00000000,0.34528936,0.08781893,0.21866984,-0.29007883,0.28316041,-0.19939136,-0.19756641,-0.11598392,0.21998399,-0.29715961,-0.19659009,-0.19366620,-0.31422880,-0.03175382,-0.01547296,0.00882336,0.03283547,-0.00244552,0.99941883,0.05700853,0.20281564,0.05521053,0.25054296,-0.21608516,0.14772295,-0.14678675,0.20500981,0.04812976,-0.22917835,-0.20828846,0.03106056,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29079768,0.61710747,-1.91248598,0.22836655,1.00957327,-1.37309549,-0.18964908,0.52716377,-1.33000796,0.22963816,0.28925056,-1.31555855,0.00000000,0.00000000,0.00000000,0.31492196,0.04518733,0.21277399,-0.29087831,0.24162011,-0.20253978,-0.23515134,-0.11415591,0.21356930,-0.26828638,-0.19274168,-0.20004716,-0.28379554,-0.03636695,-0.01344268,0.00508006,0.07645701,-0.00821686,0.99702608,0.01217506,0.19859114,0.02404365,0.20202435,-0.21977308,0.07977062,-0.14713575,0.20190284,0.04663558,-0.23224391,-0.21042095,0.03112642,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.27375820,0.85012639,-1.89189363,0.24264550,1.10023713,-1.55190933,-0.20245136,0.50649869,-1.38567460,0.24714223,0.19499595,-1.39716876,0.00000000,0.00000000,0.00000000,0.29188344,0.03773102,0.20960468,-0.27086446,0.16473463,-0.20454572,-0.25655326,-0.09081155,0.21013287,-0.23857681,-0.19494152,-0.20348047,-0.26068029,-0.03609718,-0.01073582,0.00330064,0.11088894,-0.00979180,0.99377908,0.00565175,0.19810569,0.02101898,0.12467934,-0.21840710,0.03533018,-0.12285697,0.20110209,0.05330663,-0.23491004,-0.21043547,0.03120315,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.30093116,1.05450044,-1.98407445,0.25530667,1.17108245,-1.65730720,-0.21123131,0.54405216,-1.43081050,0.27823341,0.07998136,-1.46021054,0.00000000,0.00000000,0.00000000,0.27591171,0.03252644,0.20770892,-0.25484154,0.12333542,-0.20626380,-0.23338669,-0.05688269,0.20785739,-0.20872684,-0.20827211,-0.20590129,-0.24477311,-0.03152795,-0.00870799,0.00183733,0.12928900,-0.00899103,0.99156449,0.00472280,0.19838340,0.02107018,0.08808397,-0.21715312,0.04252503,-0.08466926,0.20013725,0.06718488,-0.24346358,-0.21083642,0.03113860,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.33519608,1.16148553,-2.07130036,0.26144117,1.22882633,-1.69632173,-0.21863746,0.60569690,-1.46354866,0.31087471,-0.01895202,-1.49531972,0.00000000,0.00000000,0.00000000,0.26486833,0.02405335,0.20589146,-0.24382489,0.11390105,-0.20781455,-0.21005649,-0.02758036,0.20574048,-0.18470115,-0.22470993,-0.20847590,-0.23387429,-0.02279016,-0.00676485,0.00021309,0.13574874,-0.00873163,0.99070480,0.00494538,0.19866298,0.02104344,0.08737215,-0.21658525,0.05481184,-0.04668276,0.19943642,0.08016718,-0.25119640,-0.21118439,0.03099404,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.36539298,1.21634278,-2.13272610,0.26175548,1.27806940,-1.68258674,-0.22586898,0.68857412,-1.48911576,0.33098904,-0.07125403,-1.51661904,0.00000000,0.00000000,0.00000000,0.25727400,0.01202510,0.20401750,-0.23622731,0.11657094,-0.20926356,-0.19191042,-0.01029285,0.20370994,-0.17083072,-0.24339924,-0.21119239,-0.22645860,-0.00944010,-0.00488789,-0.00164542,0.13169539,-0.00850430,0.99125239,0.00623792,0.19888146,0.02104668,0.10336330,-0.21620617,0.06536357,-0.01608196,0.19897376,0.08644328,-0.25658367,-0.21168602,0.03081540,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.38524131,1.25844646,-2.16252890,0.25978587,1.32148261,-1.62634194,-0.23383105,0.79513118,-1.52041368,0.33161180,-0.05724723,-1.54890420,0.00000000,0.00000000,0.00000000,0.25116512,-0.00332943,0.20250531,-0.23000860,0.11951090,-0.21035034,-0.17813591,-0.00797521,0.20214637,-0.16745243,-0.26337153,-0.21325734,-0.22029661,0.00790667,-0.00352429,-0.00323134,0.11852808,-0.00868781,0.99290743,0.00833206,0.19900794,0.02115652,0.12349735,-0.21605409,0.07302920,0.00368042,0.19873518,0.08371269,-0.25937317,-0.21186233,0.03086851,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.40274823,1.30319953,-2.18694067,0.25984547,1.36216974,-1.53730750,-0.24361773,0.93850929,-1.56006205,0.31745914,0.02156740,-1.60139680,0.00000000,0.00000000,0.00000000,0.24416018,-0.02164046,0.20172392,-0.22294460,0.12319266,-0.21080756,-0.16358182,-0.01888849,0.20132503,-0.17238015,-0.28812229,-0.21406561,-0.21301058,0.02818671,-0.00339371,-0.00407202,0.09776030,-0.01042516,0.99514705,0.01098228,0.19875687,0.02121557,0.14671932,-0.21685630,0.08057836,0.01372482,0.19829763,0.07178003,-0.26456796,-0.21107915,0.03114960,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.40245098,1.34379177,-2.17312050,0.27256371,1.42447512,-1.48195827,-0.27147462,1.12495661,-1.69125803,0.29978623,0.13309022,-1.65498822,0.00000000,0.00000000,0.00000000,0.23075945,-0.03601847,0.20171714,-0.20817103,0.12131404,-0.21095142,-0.15627641,-0.03599310,0.20111614,-0.18222402,-0.30252144,-0.21359616,-0.19128077,0.04847181,-0.00460696,-0.00428736,0.07361124,-0.01490076,0.99716647,0.01865900,0.19812027,0.02258842,0.16325673,-0.21918100,0.07448305,0.01866592,0.19751877,0.04853543,-0.26046038,-0.20882118,0.03947868,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.38313683,1.39874482,-2.09666548,0.31015432,1.53462903,-1.55375450,-0.33400413,1.26958823,-1.96251853,0.30617859,0.27319323,-1.77279212,0.00000000,0.00000000,0.00000000,0.20924395,-0.03415936,0.20271604,-0.18040110,0.10411951,-0.21060457,-0.15855029,-0.05727283,0.20196695,-0.17810709,-0.27899766,-0.21190590,-0.15213591,0.06690570,-0.00728570,-0.00375439,0.05190244,-0.02111965,0.99842176,0.04145227,0.19670640,0.02884286,0.16191762,-0.22215285,0.05069366,0.01832792,0.19694707,0.03113686,-0.22090429,-0.20705861,0.05710804,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.36365765,1.48633354,-1.99681985,0.36727727,1.64490466,-1.73171062,-0.42645623,1.24831617,-2.24197588,0.35081170,0.40072315,-1.94232955,0.00000000,0.00000000,0.00000000,0.18522351,-0.00958633,0.20503423,-0.14922764,0.07577530,-0.20894421,-0.16020754,-0.07298068,0.20465415,-0.15408131,-0.22587169,-0.20892277,-0.11200048,0.08456747,-0.01147133,-0.00178832,0.02985300,-0.02338575,0.99927909,0.08461353,0.19378688,0.03599587,0.15045397,-0.22374131,0.02501597,0.02127119,0.19638219,0.03114220,-0.15085967,-0.20956423,0.07322303,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.36939148,1.57807100,-1.94040902,0.40096131,1.64907537,-1.94832788,-0.50771088,1.05739868,-2.36943598,0.39310510,0.55159233,-2.08538852,0.00000000,0.00000000,0.00000000,0.17035879,0.04552562,0.20714808,-0.13278123,0.05797471,-0.20671444,-0.14909249,-0.09013274,0.20714078,-0.13945049,-0.17235600,-0.20679076,-0.09431485,0.10393794,-0.01487726,0.00014591,-0.00727467,-0.02317540,0.99970494,0.15901475,0.18993839,0.03757756,0.15227036,-0.22405638,0.02126630,0.02350181,0.19621808,0.03090829,-0.07781640,-0.21345814,0.07604393,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.36576697,1.62742341,-1.82181919,0.39485455,1.50338650,-2.10582733,-0.52626324,0.85341662,-2.35834146,0.42260662,0.73570281,-2.20085835,0.00000000,0.00000000,0.00000000,0.16836931,0.11600651,0.20817837,-0.12585063,0.03817766,-0.20557911,-0.14720184,-0.11019544,0.20802384,-0.13743042,-0.13113840,-0.20615000,-0.10088825,0.12520131,-0.01706412,0.00052453,-0.05466721,-0.02310496,0.99823714,0.25075518,0.18549938,0.04251868,0.15378587,-0.22419506,0.02116747,0.02479035,0.19585509,0.03093889,-0.01537386,-0.21689837,0.06748106,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.35694640,1.63181932,-1.67504115,0.37265183,1.30871940,-2.13408003,-0.48735453,0.72045817,-2.28520360,0.43759527,0.91620371,-2.26566124,0.00000000,0.00000000,0.00000000,0.17515842,0.16899275,0.20880045,-0.12151565,0.01795937,-0.20491949,-0.15412109,-0.13079523,0.20828876,-0.14398416,-0.10112065,-0.20586287,-0.11893040,0.14651644,-0.01876429,0.00045648,-0.09009692,-0.02324694,0.99566155,0.32516400,0.18183787,0.05364277,0.15479612,-0.22430257,0.02103733,0.02568516,0.19545850,0.03117426,0.03580401,-0.21963157,0.05622802,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.34997833,1.61621130,-1.53015394,0.33341124,1.19082999,-2.04306798,-0.43887863,0.70629320,-2.22495418,0.44042121,1.07081478,-2.28895435,0.00000000,0.00000000,0.00000000,0.18413653,0.19003916,0.20919584,-0.13678614,-0.00246954,-0.20467720,-0.16290795,-0.15087323,0.20833046,-0.15311261,-0.09083071,-0.20567159,-0.14029717,0.16841601,-0.02007162,0.00021511,-0.10881434,-0.02335739,0.99378762,0.36819704,0.17984167,0.04735039,0.15620708,-0.22439929,0.02122859,0.02762986,0.19520395,0.03102392,0.06789872,-0.22118676,0.04383936,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.34675156,1.58527148,-1.38271105,0.29575056,1.18558159,-1.90273659,-0.40308269,0.79726883,-2.20048099,0.43634381,1.20221484,-2.28768048,0.00000000,0.00000000,0.00000000,0.19254690,0.17776514,0.20843594,-0.16521897,-0.02415904,-0.20556019,-0.17129573,-0.17159367,0.20777233,-0.16142605,-0.10224063,-0.20609947,-0.15991634,0.19213101,-0.02029032,-0.00103899,-0.11408637,-0.02341405,0.99319434,0.37959798,0.17946483,0.02732793,0.15823331,-0.22447062,0.02125117,0.03060214,0.19539963,0.03112085,0.08021426,-0.22129972,0.03263056,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.33873624,1.52704041,-1.22288630,0.27724178,1.23126965,-1.80289395,-0.38988369,0.92868313,-2.20094705,0.46452577,1.34599583,-2.31712222,0.00000000,0.00000000,0.00000000,0.20446243,0.15526602,0.20657133,-0.18293706,-0.04097724,-0.20728580,-0.18334907,-0.19341285,0.20679003,-0.15729510,-0.12301747,-0.20716023,-0.17326974,0.21579708,-0.01957520,-0.00315523,-0.11878614,-0.02328646,0.99264175,0.38056098,0.17950296,0.02152537,0.16516329,-0.22471602,0.02111337,0.03227443,0.19604039,0.04716733,0.08321884,-0.22075091,0.03119269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.31421497,1.46867132,-1.22526169,0.25890946,1.24657810,-1.66741204,-0.37528428,1.06301200,-2.18173623,0.57280523,1.45457518,-2.41112399,0.00000000,0.00000000,0.00000000,0.22237018,0.13587398,0.20516717,-0.20126450,-0.01849029,-0.20857864,-0.19876355,-0.20380321,0.20642687,-0.13072817,-0.14288626,-0.20793324,-0.19122537,0.23741938,-0.01921526,-0.00475288,-0.13183436,-0.02299560,0.99099360,0.38257168,0.17949588,0.02110568,0.20937027,-0.22672475,0.02360663,0.04331069,0.19635287,0.09164201,0.08513518,-0.22036752,0.03114481,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29226231,1.41204679,-1.29357991,0.24209003,1.23265371,-1.49681785,-0.36103918,1.18253436,-2.13761339,0.64787295,1.45584748,-2.45699725,0.00000000,0.00000000,0.00000000,0.24277404,0.11732310,0.20405265,-0.22173445,0.01948596,-0.20958686,-0.20922043,-0.20017276,0.20642102,-0.11755265,-0.16241070,-0.20851882,-0.21167095,0.25809640,-0.01904980,-0.00592073,-0.14632040,-0.02270359,0.98895896,0.38450433,0.17950304,0.02103959,0.26810865,-0.22930229,0.03355361,0.06743846,0.19619035,0.12522139,0.08644531,-0.22003049,0.03110308,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
