vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.23968999,0.92829102,-1.63803518,0.24402773,0.91609871,-1.72554457,-0.27607343,0.81488305,-1.85014296,0.24099208,0.70903522,-1.69381630,0.00000000,0.00000000,0.00000000,0.39705703,0.18031733,0.20530251,-0.24474062,0.16343660,-0.20867101,-0.25653978,-0.15290965,0.20521949,-0.25024444,-0.16370594,-0.20847011,-0.21964976,0.00000000,0.00000000,-0.00144286,-0.00343246,0.00058575,0.99999290,0.18007465,0.20551540,0.15231641,0.16368302,-0.20847778,0.14051725,-0.15315200,0.20503870,0.14681259,-0.16345953,-0.20866337,0.17740726,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.23569545,0.92337145,-1.55967770,0.20892181,0.84935815,-1.48401909,-0.22408181,0.70396342,-1.47135756,0.21520788,0.77729224,-1.55224488,0.00000000,0.00000000,0.00000000,0.37067089,0.16393847,0.20270580,-0.28437171,0.15376077,-0.21101503,-0.26513712,-0.18990726,0.20267793,-0.28022975,-0.17975644,-0.21136135,-0.28718854,-0.01219521,-0.00862378,-0.00321209,-0.00746320,0.00407613,0.99995868,0.15007540,0.19541962,0.08629918,0.14329088,-0.21837075,0.10553377,-0.20375820,0.19248995,0.09044114,-0.19021228,-0.22145216,0.08348235,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22766818,0.98320328,-1.42379003,0.19773834,0.83664250,-1.37133312,-0.21274415,0.72562578,-1.34582427,0.20712788,0.89722384,-1.46395824,0.00000000,0.00000000,0.00000000,0.33792472,0.15076285,0.20196515,-0.29891602,0.11330530,-0.21161256,-0.27670931,-0.23881130,0.20210944,-0.29292972,-0.20405767,-0.21216705,-0.30780986,-0.02214461,-0.01636826,-0.00361395,-0.01158405,0.00589659,0.99990899,0.12620846,0.18737356,0.03900870,0.09366644,-0.22661993,0.06121541,-0.26333992,0.18289008,0.04499499,-0.22366755,-0.23094434,0.03011486,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22414625,1.06255100,-1.35641294,0.21342389,0.88371842,-1.46347716,-0.22486901,0.77475530,-1.53509939,0.21945468,0.95634770,-1.50211670,0.00000000,0.00000000,0.00000000,0.30763789,0.14502570,0.20527738,-0.28650750,0.06859536,-0.20853622,-0.27735163,-0.25729862,0.20530104,-0.27674468,-0.19609027,-0.20860489,-0.27656691,-0.02759322,-0.02211883,-0.00124371,0.00087922,0.00354318,0.99999256,0.11597463,0.18418078,0.02113039,0.04247772,-0.23016388,0.03028626,-0.28633976,0.18135432,0.03089321,-0.22220078,-0.23210762,0.03107098,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22452496,1.14749358,-1.31988792,0.23312870,0.93858929,-1.57182758,-0.22704682,0.80526992,-1.61953256,0.23312080,0.97552059,-1.55283172,0.00000000,0.00000000,0.00000000,0.29157182,0.14074555,0.20903876,-0.27042664,0.02886375,-0.20486167,-0.26994374,-0.26027522,0.20913872,-0.26046860,-0.19881653,-0.20478319,-0.26040916,-0.02402937,-0.02613579,0.00165600,0.01286089,0.00359094,0.99990948,0.11520194,0.18391457,0.02114518,0.00631400,-0.23078353,0.02162808,-0.28580908,0.18111667,0.03110322,-0.22136091,-0.23235033,0.03116266,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22318329,1.18532670,-1.28220916,0.23795508,0.96420610,-1.55713224,-0.22371545,0.84891498,-1.63817322,0.24371210,1.03565192,-1.56961250,0.00000000,0.00000000,0.00000000,0.29024005,0.13090999,0.21158557,-0.26883295,0.01016461,-0.20227767,-0.26557215,-0.27444056,0.21159818,-0.25209168,-0.20844663,-0.20213838,-0.25888360,-0.01349498,-0.02882103,0.00374229,0.01219881,0.00357874,0.99991218,0.11587750,0.18370812,0.02140710,-0.00186406,-0.23101969,0.02466790,-0.28946248,0.18078181,0.03814837,-0.22047057,-0.23246540,0.03135645,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22451178,1.19712250,-1.28609509,0.23217107,0.96922194,-1.47857256,-0.21856274,0.88541298,-1.59844017,0.25086815,1.08579807,-1.59055545,0.00000000,0.00000000,0.00000000,0.29756120,0.11728666,0.21221610,-0.27636500,0.00988833,-0.20196988,-0.26324032,-0.28275133,0.21203219,-0.24691275,-0.22323470,-0.20164247,-0.26632589,0.00182877,-0.02930686,0.00411900,0.00787208,0.00356199,0.99995419,0.11758670,0.18374698,0.02119620,0.01316889,-0.23120043,0.03432088,-0.28243963,0.18068704,0.05064845,-0.21995047,-0.23254904,0.03123531,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22689215,1.19767158,-1.31033449,0.22341538,0.96668350,-1.38643198,-0.21353990,0.90673470,-1.52718158,0.25358047,1.08239765,-1.63779771,0.00000000,0.00000000,0.00000000,0.30722501,0.10159873,0.21145176,-0.28610653,0.01601730,-0.20282477,-0.26196926,-0.27204091,0.21108877,-0.24330848,-0.24054529,-0.20242969,-0.27597418,0.01934252,-0.02834072,0.00342298,0.00570680,0.00360132,0.99997137,0.11940726,0.18384126,0.02111849,0.03682826,-0.23104418,0.04525575,-0.25421995,0.18077239,0.06391653,-0.21973047,-0.23250713,0.03125083,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22799541,1.18269606,-1.34884286,0.21557673,0.96189919,-1.29478819,-0.20931647,0.91973366,-1.44672210,0.25545351,1.03161449,-1.69914091,0.00000000,0.00000000,0.00000000,0.31605311,0.08519261,0.21038456,-0.29493379,0.02874389,-0.20386701,-0.26284175,-0.24693469,0.20997681,-0.23964694,-0.25873894,-0.20349342,-0.28476429,0.03757231,-0.02706997,0.00254287,0.00518643,0.00361438,0.99997679,0.12123627,0.18392716,0.02111932,0.06779458,-0.23072307,0.05321136,-0.21087933,0.18110971,0.07640617,-0.21968340,-0.23243528,0.03128882,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22591740,1.14292593,-1.39886580,0.21094477,0.96174448,-1.21521471,-0.20631376,0.93429796,-1.37883956,0.25891160,0.95319524,-1.75187671,0.00000000,0.00000000,0.00000000,0.32165988,0.06884062,0.20981954,-0.30059763,0.05063069,-0.20438072,-0.26687318,-0.21708536,0.20939065,-0.23502768,-0.27628393,-0.20405462,-0.29039345,0.05556873,-0.02631550,0.00208504,0.00542492,0.00351149,0.99997695,0.12292929,0.18398388,0.02106225,0.10763821,-0.23033441,0.05478670,-0.16298657,0.18154040,0.08663220,-0.21927060,-0.23231171,0.03126643,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
