vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.12770171,0.84045351,-1.55948651,0.09577303,-0.12141132,-1.03156424,-0.13024463,0.37048557,-1.54576039,0.18487467,1.08586609,-1.56815350,0.65379573,0.00466773,-0.00465404,0.28618917,0.41831750,0.17004581,-0.28085566,0.17949936,-0.17973042,-0.28497106,-0.27886439,0.19331257,-0.26992525,-0.06979844,-0.17763647,-0.26695924,0.00000000,0.00000000,0.00002306,-0.00782000,0.00294891,0.99996507,0.41730730,0.17251008,0.00533351,0.18055628,-0.17866861,0.00121811,-0.27999969,0.19166448,0.01626392,-0.06874953,-0.17804505,0.01922993,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.51485508,0.04343917,0.02065547,-0.00028472,0.03578230,0.16342890,-0.13570369,0.87813342,-1.57997370,0.09022047,-0.09031119,-1.05654476,-0.13983309,0.36748133,-1.52050395,0.18781897,1.11147265,-1.57507083,0.65379573,0.00466773,-0.00465404,0.28677772,0.41103179,0.16861064,-0.28378316,0.17122164,-0.18151643,-0.28047621,-0.28512772,0.19352329,-0.26638959,-0.07122235,-0.18082253,-0.27019213,0.01033762,0.00097399,0.00003413,-0.00746281,0.00458457,0.99996164,0.41980609,0.17334641,0.00299456,0.18321644,-0.17896483,0.00630151,-0.27655258,0.19187472,0.02038813,-0.05922372,-0.18049400,0.01658559,-0.41632698,1.86065202,-1.07123723,-0.27549725,1.61110435,-1.34971251,-0.47565717,-0.12004399,1.22628338,0.13913561,1.25304918,-0.35455875
0.56488099,0.03192559,-0.01056131,-0.00061936,0.05187903,0.18530190,-0.15275475,0.90458491,-1.62467523,0.08568046,-0.02663149,-1.13225954,-0.14808172,0.38295747,-1.51362824,0.18855139,1.12477055,-1.58680236,0.65379573,0.00466773,-0.00465404,0.28676571,0.39823577,0.16715110,-0.28330594,0.17019537,-0.18524654,-0.27145903,-0.28696867,0.19326759,-0.26366507,-0.07650688,-0.18349718,-0.27214630,0.02138635,0.00176187,0.00004444,-0.00696469,0.00640898,0.99995521,0.41744685,0.17400384,0.00345977,0.19394223,-0.18128788,0.01530668,-0.26803606,0.19133522,0.02310064,-0.05276218,-0.18270089,0.01461940,-0.87992685,1.28519914,-2.29789553,-0.22310610,3.28910346,-3.91474791,-0.40957985,0.84433270,0.28762368,0.04128786,0.63355026,-0.60021298
0.59829285,0.00768967,-0.05285590,-0.00124896,0.08193590,0.13255491,-0.17103428,0.89975450,-1.66695421,0.08484523,0.04814405,-1.21881042,-0.15105924,0.42352023,-1.53459632,0.19225173,1.11756828,-1.59664857,0.65379573,0.00466773,-0.00465404,0.28590345,0.38282836,0.16670324,-0.28177330,0.17765975,-0.18921918,-0.26313795,-0.28350020,0.19417715,-0.26234107,-0.08669210,-0.18435331,-0.27206982,0.03351471,0.00214552,0.00004809,-0.00615957,0.00783398,0.99995034,0.41368422,0.17482637,0.00413015,0.21411730,-0.18426690,0.02276550,-0.25299301,0.19185702,0.02356238,-0.05027834,-0.18354343,0.01383362,-0.87672204,-0.39561350,-1.98850901,-0.02379443,3.64996428,-4.19124546,-0.11871631,2.09339595,-1.14806253,0.20054489,-0.44879911,-0.45537947
0.66744673,-0.00506477,-0.08584896,-0.00191166,0.11557173,0.02589031,-0.18343096,0.86475551,-1.69040039,0.08641260,0.11792952,-1.29451437,-0.15032170,0.48195773,-1.57393858,0.19839616,1.08968713,-1.60317762,0.65379573,0.00466773,-0.00465404,0.28442813,0.36786618,0.16695408,-0.28022224,0.19048694,-0.19193934,-0.25851431,-0.27494306,0.19611876,-0.26248232,-0.10033158,-0.18387803,-0.27031987,0.04642260,0.00227694,0.00004168,-0.00506571,0.00822822,0.99995332,0.41149155,0.17526205,0.00420589,0.24004232,-0.18650174,0.02591382,-0.23171058,0.19384466,0.02194581,-0.05086948,-0.18322726,0.01410825,-0.59493011,-1.95547776,-1.09356248,0.08788073,3.55430226,-3.83476658,0.04829068,3.08680658,-2.09238307,0.32166439,-1.55541956,-0.33015501
0.65208044,-0.00375824,-0.09684850,-0.00188176,0.11648532,-0.03813429,-0.19122581,0.81509197,-1.70464659,0.08836780,0.18423979,-1.36371398,-0.15014739,0.54331911,-1.61205554,0.20344815,1.04998517,-1.61591208,0.65379573,0.00466773,-0.00465404,0.28259817,0.35344864,0.16727680,-0.27833767,0.20582640,-0.19351744,-0.25536513,-0.26191807,0.19777092,-0.26262891,-0.11472322,-0.18353150,-0.26823884,0.05970081,0.00240434,0.00003072,-0.00388194,0.00791434,0.99996115,0.41045746,0.17525468,0.00426050,0.26856448,-0.18783097,0.02723303,-0.20531483,0.19600477,0.01996925,-0.05210304,-0.18292004,0.01435933,-0.35615528,-2.50978661,-0.65847003,0.09644250,3.23314238,-3.35581851,-0.00156813,3.00146699,-1.82650363,0.23453286,-2.00857115,-0.68769729
0.65548565,-0.00539914,-0.10377447,-0.00123587,0.07819672,-0.06698945,-0.19666240,0.75614314,-1.71378226,0.09130396,0.24625748,-1.42319722,-0.15018528,0.60261078,-1.64432034,0.20385497,1.01278191,-1.64204390,0.65379573,0.00466773,-0.00465404,0.28058703,0.33987438,0.16788926,-0.27629034,0.22298999,-0.19437781,-0.25208789,-0.24715698,0.19770288,-0.26122003,-0.12860879,-0.18325629,-0.26627072,0.07293246,0.00249300,0.00002230,-0.00305925,0.00728074,0.99996882,0.41032614,0.17531342,0.00429669,0.29872917,-0.18861721,0.02849914,-0.17707711,0.19657603,0.01936700,-0.05299427,-0.18261656,0.01431631,-0.26544203,-2.94503431,-0.43774203,0.14935239,3.06984067,-2.93023186,-0.00328968,2.94339128,-1.59659836,0.00962668,-1.83517909,-1.31911972
0.65474560,-0.00797197,-0.09967178,0.00025718,-0.03986163,-0.22312864,-0.19877405,0.68513253,-1.71038599,0.09634918,0.30455936,-1.46987987,-0.15131293,0.66220922,-1.67295709,0.19887882,0.97883146,-1.67824051,0.65379573,0.00466773,-0.00465404,0.27869841,0.32712941,0.16919499,-0.27444045,0.24240021,-0.19451139,-0.24940922,-0.23134057,0.19576796,-0.25889272,-0.14210175,-0.18325971,-0.26443455,0.08583532,0.00247226,0.00001682,-0.00337776,0.00519074,0.99998082,0.41119063,0.17505419,0.00425796,0.33024177,-0.18951219,0.02928919,-0.14752512,0.19582804,0.01980569,-0.05435627,-0.18225279,0.01426386,-0.09449230,-3.64789591,0.22400994,0.26217134,2.96102242,-2.34049754,-0.06166864,3.03161550,-1.44229734,-0.26325424,-1.73573151,-1.85253832
0.62450383,0.00120749,-0.07261922,0.00080427,-0.18453302,-0.42452996,-0.19458303,0.60066150,-1.68510728,0.10306256,0.36215032,-1.50425205,-0.15385173,0.72172551,-1.69590378,0.18954631,0.94073794,-1.71773021,0.65379573,0.00466773,-0.00465404,0.27729231,0.31450427,0.17110833,-0.27309276,0.26392985,-0.19343056,-0.24875033,-0.21358906,0.19250755,-0.25651315,-0.15519875,-0.18368112,-0.26319212,0.09858264,0.00250613,0.00000333,-0.00515560,0.00101339,0.99998620,0.41273946,0.17425156,0.00419955,0.36290400,-0.19038908,0.02854197,-0.11539616,0.19458038,0.02077915,-0.05624349,-0.18148917,0.01410019,0.23547549,-4.18297930,1.32745144,0.33170105,2.82617226,-1.64712727,-0.12765403,2.91526299,-1.10377417,-0.47513192,-1.88558445,-1.93936114
0.67809146,0.02475377,-0.03797031,-0.00070195,-0.20830961,-0.50378742,-0.18520153,0.50716661,-1.63751030,0.10870757,0.42073646,-1.53227940,-0.15751561,0.77883372,-1.71091900,0.17452722,0.89639292,-1.75202434,0.65379573,0.00466773,-0.00465404,0.27664304,0.30130831,0.17278331,-0.27241195,0.28630498,-0.19137592,-0.25045366,-0.19533515,0.18787181,-0.25472587,-0.16822663,-0.18449550,-0.26257741,0.11169828,0.00283837,-0.00002917,-0.00722788,-0.00388882,0.99996632,0.41434135,0.17327295,0.00423109,0.39650612,-0.19075858,0.02618939,-0.08216974,0.19222377,0.02191718,-0.05795822,-0.18034312,0.01406563,0.50633128,-4.86424112,2.59666531,0.27582817,3.02296762,-1.41511061,-0.19738757,2.91531057,-0.70905924,-0.81589774,-2.33087754,-1.70379415
