vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w,e1x_w,e1y_w,e1z_w,e2x_w,e2y_w,e2z_w,e3x_w,e3y_w,e3z_w,e4x_w,e4y_w,e4z_w,jv_base1,jv_shoulder1,jv_elbow1,jv_base2,jv_shoulder2,jv_elbow2,jv_base3,jv_shoulder3,jv_elbow3,jv_base4,jv_shoulder4,jv_elbow4
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06664322,0.00127643,-1.20903814,0.11629758,0.83111817,-1.62087905,-0.16287592,0.73257405,-1.60470688,0.11111602,0.80286115,-1.72445977,0.34263732,0.00895848,0.00199114,0.28459555,0.18379721,0.17541459,-0.28279111,0.38868244,-0.16100959,-0.28653561,-0.18025412,0.17209687,-0.26219296,-0.17620411,-0.18863011,-0.27377315,0.00000000,0.00000000,0.00012770,0.00626966,-0.02036258,0.99977299,0.19078723,0.16778535,0.00180444,0.38180420,-0.17670224,-0.00194006,-0.17309728,0.17929365,0.02240258,-0.18373853,-0.18129909,0.01082240,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.33013687,-0.00931706,0.01109038,-0.00806190,-0.20654030,0.13748054,-0.06873638,0.03399936,-1.22861671,0.11904022,0.85018557,-1.62128472,-0.16205572,0.76360812,-1.61087360,0.11658251,0.73063695,-1.71941330,0.34263732,0.00895848,0.00199114,0.28476702,0.17943932,0.17615457,-0.28139646,0.38186811,-0.16177140,-0.28708576,-0.15980567,0.17342051,-0.26132665,-0.18336367,-0.18832573,-0.27406209,0.00664577,-0.00044648,0.00008001,0.00419690,-0.01897777,0.99981109,0.19264074,0.16877165,0.00337056,0.38209974,-0.17659288,-0.00231874,-0.14646364,0.17891358,0.02344037,-0.18373259,-0.18167808,0.01070493,-0.10497159,1.62548356,-0.97293308,0.14003274,0.93283882,-0.02407317,0.03966783,1.53993230,-0.30539420,0.27105970,-3.59035249,0.27699153
0.32947691,-0.00177556,0.00210455,-0.00864225,-0.23823531,0.13862328,-0.07127437,0.06708023,-1.24836926,0.12404632,0.86097459,-1.62439690,-0.16183252,0.79438729,-1.61709123,0.12217789,0.65640857,-1.70107601,0.34263732,0.00895848,0.00199114,0.28479501,0.17806780,0.17748021,-0.27929932,0.37509730,-0.16265431,-0.28724662,-0.14015208,0.17488549,-0.26137289,-0.19025617,-0.18814678,-0.27419363,0.01313091,-0.00071765,0.00003344,0.00186687,-0.01761306,0.99984313,0.19733921,0.17038076,0.00549569,0.38226668,-0.17648224,-0.00245161,-0.12077462,0.17899559,0.02342212,-0.18363389,-0.18204674,0.01060138,-0.12926698,1.68104091,-1.00223649,0.26052995,0.52461478,-0.16764586,0.00981691,1.56445174,-0.31870848,0.28638521,-3.77343040,0.95636874
0.30498551,0.00450711,-0.01234820,-0.00852018,-0.25336605,0.12798903,-0.07370964,0.09969858,-1.26756601,0.13155172,0.86128772,-1.63324161,-0.16218048,0.82467004,-1.62433319,0.12909162,0.58262701,-1.67215178,0.34263732,0.00895848,0.00199114,0.28457405,0.18075798,0.17939482,-0.27607892,0.36854597,-0.16350133,-0.28709505,-0.12139567,0.17679133,-0.26192514,-0.19667364,-0.18806286,-0.27403504,0.01937127,-0.00083806,-0.00001091,-0.00070412,-0.01630259,0.99986686,0.20588159,0.17256853,0.00849513,0.38239105,-0.17626740,-0.00252100,-0.09619632,0.17981690,0.02264891,-0.18332885,-0.18238923,0.01053901,-0.11790096,1.59780245,-0.94131719,0.37781646,-0.02805344,-0.46670716,-0.01887924,1.48182261,-0.35890269,0.34736218,-3.61646037,1.46312847
0.31334375,0.00831596,-0.02756528,-0.00856861,-0.27534291,0.12593618,-0.07603261,0.13205636,-1.28673539,0.14173109,0.84952658,-1.64822044,-0.16291565,0.85487436,-1.63241744,0.13850807,0.50947466,-1.63301265,0.34263732,0.00895848,0.00199114,0.28410831,0.18787411,0.18189804,-0.27158169,0.36212049,-0.16430353,-0.28668348,-0.10344304,0.17947526,-0.26285564,-0.20283454,-0.18802927,-0.27360435,0.02547417,-0.00086913,-0.00005049,-0.00337414,-0.01506846,0.99988077,0.21874421,0.17528497,0.01252662,0.38247914,-0.17601006,-0.00257517,-0.07251365,0.18164175,0.02125267,-0.18293428,-0.18270086,0.01050396,-0.11998539,1.66387825,-0.98601960,0.54228778,-0.68969616,-0.80133952,-0.04006023,1.55672300,-0.42099845,0.50276281,-3.75857244,2.07624464
0.29845608,0.01276387,-0.03869015,-0.00776349,-0.26867886,0.09979152,-0.07856353,0.16460806,-1.30609703,0.15387233,0.82051986,-1.65760434,-0.16426504,0.88626891,-1.64143586,0.15075970,0.43991789,-1.58637536,0.34263732,0.00895848,0.00199114,0.28342381,0.19906495,0.18499133,-0.26741435,0.35568763,-0.16515451,-0.28604085,-0.08678267,0.18303216,-0.26397134,-0.20910605,-0.18810122,-0.27283533,0.03157312,-0.00079636,-0.00008561,-0.00610589,-0.01401867,0.99988309,0.23574607,0.17854145,0.01600946,0.38249081,-0.17585769,-0.00261704,-0.05004412,0.18459682,0.01945248,-0.18272418,-0.18296133,0.01058848,-0.12591612,1.59828186,-0.95126903,0.60623705,-1.55348635,-0.39164457,-0.07118109,1.54968917,-0.44906136,0.62032479,-3.37733746,2.33221745
0.30149014,0.01882718,-0.04941590,-0.00820449,-0.30250295,0.06209320,-0.08086443,0.19824464,-1.32634351,0.16331055,0.77339516,-1.64951763,-0.16684024,0.91954106,-1.65068731,0.16441672,0.38218814,-1.53891883,0.34263732,0.00895848,0.00199114,0.28254334,0.21314076,0.18767358,-0.26549514,0.34918276,-0.16592618,-0.28503738,-0.07299610,0.18708642,-0.26522163,-0.21564463,-0.18844475,-0.27179933,0.03767634,-0.00058228,-0.00012207,-0.00913400,-0.01337536,0.99986882,0.25576100,0.18132275,0.01704820,0.38229572,-0.17578954,-0.00249404,-0.03028917,0.18838980,0.01732170,-0.18293191,-0.18319122,0.01074401,-0.11282739,1.67127740,-1.00429914,0.45909930,-2.35434465,0.42051346,-0.12999446,1.65469034,-0.45890866,0.67655029,-2.83382583,2.34222908
0.30041733,0.02023791,-0.05706233,-0.00990736,-0.37598333,0.00693450,-0.08235650,0.23289664,-1.34587200,0.16806236,0.71982598,-1.63284287,-0.17056018,0.95493189,-1.66022553,0.17685318,0.34356247,-1.50112596,0.34263732,0.00895848,0.00199114,0.28157449,0.22839616,0.18921692,-0.26448312,0.34267994,-0.16646762,-0.28382843,-0.06327271,0.19084306,-0.26650785,-0.22232728,-0.18901992,-0.27064144,0.04363095,-0.00033990,-0.00017007,-0.01279318,-0.01327457,0.99983003,0.27697012,0.18274664,0.01709137,0.38177055,-0.17584664,-0.00225395,-0.01455277,0.19211571,0.01506664,-0.18363625,-0.18339063,0.01093304,-0.07368662,1.76479666,-0.98925669,0.23325201,-2.72797308,0.85717409,-0.19155566,1.80651581,-0.48819050,0.62673018,-1.90954752,1.88578830
0.26971722,0.01525719,-0.05626992,-0.01222150,-0.45104942,-0.07637645,-0.08269232,0.26880971,-1.36396925,0.17026702,0.66616914,-1.61287830,-0.17524014,0.99329166,-1.67123647,0.18551650,0.33004341,-1.48138168,0.34263732,0.00895848,0.00199114,0.28061233,0.24389670,0.19007114,-0.26316259,0.33617340,-0.16668673,-0.28247470,-0.05865063,0.19353090,-0.26787871,-0.22906576,-0.18972417,-0.26929294,0.04921810,-0.00017376,-0.00024296,-0.01731830,-0.01397419,0.99975234,0.29833197,0.18300625,0.01744974,0.38060130,-0.17619136,-0.00186238,-0.00400046,0.19492080,0.01273361,-0.18506093,-0.18342147,0.01131938,-0.01053346,1.76672649,-0.88273773,0.10381183,-2.62233224,0.98843009,-0.23299402,1.89320610,-0.54656615,0.40186291,-0.55162238,0.88020346
0.28018894,0.01799086,-0.06139201,-0.01590283,-0.53696340,-0.17261189,-0.08161071,0.30596831,-1.38142693,0.17169776,0.61358440,-1.59022977,-0.18104233,1.03332658,-1.68239193,0.18810887,0.34051545,-1.48294852,0.34263732,0.00895848,0.00199114,0.27966765,0.25927122,0.19071056,-0.26131539,0.32960628,-0.16648852,-0.28101272,-0.05873801,0.19440466,-0.26919788,-0.23581358,-0.19061797,-0.26784698,0.05469649,-0.00000603,-0.00035066,-0.02247984,-0.01554579,0.99962636,0.31977260,0.18255010,0.01835226,0.37896631,-0.17666336,-0.00134507,0.00203201,0.19613111,0.01046977,-0.18693044,-0.18319905,0.01182067,0.06463490,1.91924534,-0.89643312,0.06989758,-2.70363612,1.18433897,-0.30698752,2.06466792,-0.56810589,0.09213282,0.67864874,-0.21708536
